TEXTURE AT STRAIN =    0.9000
   2.748   2.809   0.108  <-- length of phase ellipsoid axes
  -29.92    0.66    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
   87.35  116.58 -116.79   0.0003500
