  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  19.000   0.188   0.181   0.367
   0.025  20.000   0.182   0.179   0.360
   0.050  19.000   0.179   0.179   0.357
   0.075  15.000   0.173   0.175   0.348
   0.100  14.000   0.175   0.181   0.358
   0.125  18.000   0.179   0.189   0.373
   0.150  21.000   0.183   0.196   0.384
   0.175  21.000   0.185   0.199   0.390
   0.200  22.000   0.186   0.199   0.391
   0.225  22.000   0.183   0.197   0.386
   0.250  23.000   0.178   0.191   0.375
   0.275  22.000   0.172   0.184   0.360
   0.300  22.000   0.163   0.175   0.343
   0.325  22.000   0.155   0.166   0.325
   0.350  22.000   0.146   0.157   0.308
   0.375  23.000   0.138   0.148   0.291
   0.400  23.000   0.131   0.141   0.276
   0.425  22.000   0.125   0.134   0.262
   0.450  22.000   0.119   0.127   0.250
   0.475  22.000   0.113   0.122   0.239
   0.500  22.000   0.109   0.117   0.229
   0.525  22.000   0.105   0.112   0.220
   0.550  22.000   0.101   0.108   0.213
   0.575  21.000   0.101   0.108   0.213
   0.600  21.000   0.101   0.108   0.213
   0.625  21.000   0.101   0.108   0.212
   0.650  21.000   0.101   0.108   0.212
   0.675  21.000   0.101   0.108   0.212
   0.700  21.000   0.101   0.108   0.212
   0.725  21.000   0.101   0.108   0.211
   0.750  21.000   0.100   0.107   0.211
   0.775  22.000   0.100   0.107   0.210
   0.800  23.000   0.100   0.107   0.210
   0.825  23.000   0.099   0.107   0.209
   0.850  23.000   0.099   0.107   0.209
   0.875  23.000   0.099   0.106   0.208
   0.900  23.000   0.098   0.106   0.208
   0.925  23.000   0.098   0.106   0.207
   0.950  23.000   0.098   0.106   0.207
   0.975  23.000   0.098   0.106   0.207
   1.000  23.000   0.098   0.106   0.207
