  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.097   0.001   0.000
   0.025   2.000   0.086   0.001   0.000
   0.050   2.000   0.083   0.002   0.000
   0.075   2.000   0.087   0.003   0.000
   0.100   3.000   0.095   0.006   0.001
   0.125   4.000   0.100   0.009   0.001
   0.150   4.000   0.101   0.012   0.001
   0.175   4.000   0.105   0.019   0.002
   0.200   4.000   0.112   0.032   0.004
   0.225   4.000   0.121   0.053   0.006
   0.250   4.000   0.132   0.079   0.010
   0.275   6.000   0.144   0.107   0.014
   0.300   6.000   0.156   0.136   0.017
   0.325   6.000   0.168   0.162   0.019
   0.350   6.000   0.179   0.187   0.021
   0.375   6.000   0.189   0.209   0.023
   0.400   6.000   0.198   0.230   0.023
   0.425   6.000   0.206   0.248   0.023
   0.450   6.000   0.213   0.265   0.022
   0.475   5.000   0.219   0.280   0.021
   0.500   5.000   0.217   0.283   0.019
   0.525   4.000   0.215   0.286   0.017
   0.550   4.000   0.213   0.289   0.016
   0.575   4.000   0.211   0.292   0.014
   0.600   4.000   0.209   0.294   0.013
   0.625   4.000   0.207   0.296   0.011
   0.650   4.000   0.205   0.298   0.010
   0.675   4.000   0.203   0.300   0.009
   0.700   4.000   0.201   0.302   0.008
   0.725   4.000   0.199   0.303   0.007
   0.750   4.000   0.197   0.305   0.006
   0.775   4.000   0.195   0.306   0.006
   0.800   4.000   0.193   0.306   0.005
   0.825   3.000   0.191   0.307   0.005
   0.850   3.000   0.189   0.307   0.005
   0.875   3.000   0.187   0.306   0.005
   0.900   3.000   0.185   0.306   0.005
   0.925   3.000   0.183   0.304   0.005
   0.950   3.000   0.181   0.303   0.005
   0.975   3.000   0.179   0.301   0.005
   1.000   4.000   0.177   0.298   0.005
