  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.228   0.241   0.474
   0.025  22.000   0.229   0.245   0.481
   0.050  23.000   0.229   0.247   0.484
   0.075  23.000   0.229   0.248   0.484
   0.100  23.000   0.228   0.247   0.483
   0.125  21.000   0.226   0.245   0.479
   0.150  21.000   0.222   0.242   0.472
   0.175  21.000   0.217   0.236   0.462
   0.200  21.000   0.210   0.228   0.446
   0.225  21.000   0.200   0.219   0.427
   0.250  21.000   0.190   0.207   0.405
   0.275  21.000   0.180   0.196   0.382
   0.300  21.000   0.169   0.184   0.360
   0.325  20.000   0.160   0.173   0.339
   0.350  19.000   0.151   0.163   0.320
   0.375  21.000   0.144   0.154   0.303
   0.400  21.000   0.137   0.147   0.288
   0.425  21.000   0.132   0.140   0.275
   0.450  21.000   0.127   0.134   0.264
   0.475  21.000   0.128   0.135   0.266
   0.500  21.000   0.129   0.137   0.269
   0.525  21.000   0.130   0.138   0.271
   0.550  21.000   0.131   0.139   0.274
   0.575  21.000   0.131   0.140   0.276
   0.600  21.000   0.132   0.141   0.277
   0.625  21.000   0.133   0.142   0.279
   0.650  20.000   0.134   0.143   0.281
   0.675  19.000   0.134   0.144   0.282
   0.700  19.000   0.135   0.145   0.284
   0.725  19.000   0.135   0.145   0.285
   0.750  19.000   0.136   0.146   0.286
   0.775  19.000   0.136   0.146   0.287
   0.800  19.000   0.137   0.147   0.288
   0.825  19.000   0.137   0.147   0.289
   0.850  19.000   0.138   0.148   0.290
   0.875  19.000   0.138   0.148   0.291
   0.900  19.000   0.138   0.149   0.291
   0.925  19.000   0.139   0.149   0.292
   0.950  19.000   0.139   0.149   0.293
   0.975  19.000   0.139   0.150   0.293
   1.000  19.000   0.139   0.150   0.294
