TEXTURE AT STRAIN =    0.3000
   1.813   2.257   0.212  <-- length of phase ellipsoid axes
  -37.77    1.82   -0.87  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
  130.94   54.21 -133.82   0.0003500
