  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.161   0.003   0.000
   0.025   2.000   0.148   0.003   0.000
   0.050   2.000   0.139   0.003   0.000
   0.075   2.000   0.135   0.004   0.001
   0.100   2.000   0.134   0.005   0.001
   0.125   3.000   0.138   0.009   0.002
   0.150   3.000   0.146   0.018   0.004
   0.175   3.000   0.151   0.031   0.008
   0.200   3.000   0.145   0.031   0.009
   0.225   3.000   0.145   0.037   0.011
   0.250   3.000   0.151   0.052   0.017
   0.275   6.000   0.161   0.072   0.025
   0.300   6.000   0.172   0.094   0.033
   0.325   7.000   0.183   0.115   0.041
   0.350   8.000   0.194   0.135   0.047
   0.375   8.000   0.204   0.154   0.053
   0.400   8.000   0.214   0.172   0.056
   0.425   8.000   0.222   0.188   0.059
   0.450   8.000   0.229   0.203   0.060
   0.475   8.000   0.235   0.217   0.060
   0.500   7.000   0.233   0.220   0.056
   0.525   7.000   0.231   0.224   0.052
   0.550   6.000   0.229   0.228   0.048
   0.575   6.000   0.227   0.231   0.045
   0.600   6.000   0.224   0.235   0.041
   0.625   5.000   0.222   0.239   0.037
   0.650   5.000   0.220   0.242   0.034
   0.675   4.000   0.218   0.246   0.031
   0.700   4.000   0.216   0.249   0.027
   0.725   4.000   0.214   0.252   0.025
   0.750   4.000   0.212   0.255   0.022
   0.775   4.000   0.210   0.257   0.019
   0.800   4.000   0.208   0.259   0.017
   0.825   4.000   0.206   0.261   0.015
   0.850   4.000   0.203   0.263   0.013
   0.875   4.000   0.201   0.264   0.011
   0.900   4.000   0.199   0.266   0.010
   0.925   4.000   0.197   0.266   0.009
   0.950   4.000   0.195   0.267   0.008
   0.975   4.000   0.193   0.267   0.007
   1.000   4.000   0.190   0.268   0.006
