          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.17580E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.60027E+02  0.56534E+02 -0.11656E+03  0.65016E+01 -0.38353E+01  0.71716E+01      982.00
  0.24864E-01  0.17325E+03    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.58506E+02  0.56326E+02 -0.11483E+03  0.56981E+01 -0.44755E+01  0.78610E+01      982.00
  0.49720E-01  0.18051E+03    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.59135E+02  0.60341E+02 -0.11948E+03  0.59402E+01 -0.44549E+01  0.99748E+01      982.00
  0.74541E-01  0.19937E+03    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.62041E+02  0.69449E+02 -0.13149E+03  0.72226E+01 -0.37356E+01  0.14208E+02      982.00
  0.99273E-01  0.22918E+03    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.66720E+02  0.83498E+02 -0.15022E+03  0.93889E+01 -0.23724E+01  0.20494E+02      982.00
  0.12385E+00  0.25572E+03    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69383E+02  0.97405E+02 -0.16679E+03  0.10995E+02 -0.72411E+00  0.24829E+02      982.00
  0.14831E+00  0.27318E+03    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69494E+02  0.10820E+03 -0.17770E+03  0.11335E+02  0.67458E+00  0.26256E+02      982.00
  0.17270E+00  0.28740E+03    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69924E+02  0.11664E+03 -0.18657E+03  0.11334E+02  0.17832E+01  0.27405E+02      982.00
  0.19705E+00  0.30053E+03    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.71532E+02  0.12330E+03 -0.19484E+03  0.11467E+02  0.26751E+01  0.28763E+02      982.00
  0.22136E+00  0.31278E+03    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.74118E+02  0.12860E+03 -0.20272E+03  0.11834E+02  0.33945E+01  0.29934E+02      982.00
