TEXTURE AT STRAIN =    0.1000
   1.000   1.020   0.980  <-- length of phase ellipsoid axes
  -23.38   15.11   83.61  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
  150.00   74.89 -125.54   0.0016500
