  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  30.000   0.226   0.213   0.434
   0.025  30.000   0.229   0.216   0.439
   0.050  30.000   0.231   0.217   0.442
   0.075  30.000   0.232   0.216   0.441
   0.100  30.000   0.231   0.214   0.438
   0.125  30.000   0.228   0.211   0.432
   0.150  29.000   0.225   0.207   0.425
   0.175  29.000   0.220   0.202   0.414
   0.200  28.000   0.211   0.194   0.399
   0.225  28.000   0.199   0.183   0.376
   0.250  29.000   0.184   0.170   0.348
   0.275  29.000   0.168   0.156   0.319
   0.300  29.000   0.154   0.143   0.293
   0.325  28.000   0.140   0.132   0.269
   0.350  28.000   0.129   0.122   0.248
   0.375  28.000   0.118   0.113   0.229
   0.400  27.000   0.109   0.105   0.213
   0.425  27.000   0.101   0.098   0.198
   0.450  27.000   0.094   0.092   0.186
   0.475  25.000   0.088   0.087   0.175
   0.500  26.000   0.083   0.082   0.165
   0.525  26.000   0.078   0.078   0.156
   0.550  26.000   0.074   0.075   0.149
   0.575  25.000   0.072   0.073   0.146
   0.600  26.000   0.071   0.072   0.143
   0.625  27.000   0.070   0.071   0.141
   0.650  28.000   0.069   0.070   0.140
   0.675  27.000   0.069   0.070   0.139
   0.700  28.000   0.069   0.070   0.139
   0.725  27.000   0.069   0.071   0.140
   0.750  28.000   0.069   0.071   0.141
   0.775  28.000   0.069   0.071   0.141
   0.800  28.000   0.069   0.072   0.142
   0.825  28.000   0.068   0.072   0.142
   0.850  28.000   0.068   0.072   0.142
   0.875  28.000   0.068   0.072   0.142
   0.900  28.000   0.068   0.072   0.142
   0.925  28.000   0.068   0.072   0.142
   0.950  28.000   0.068   0.072   0.141
   0.975  28.000   0.067   0.072   0.141
   1.000  29.000   0.067   0.072   0.141
