  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.093   0.002   0.000
   0.025   2.000   0.081   0.002   0.000
   0.050   2.000   0.075   0.002   0.000
   0.075   2.000   0.074   0.002   0.000
   0.100   2.000   0.076   0.004   0.000
   0.125   3.000   0.083   0.008   0.000
   0.150   4.000   0.092   0.019   0.001
   0.175   4.000   0.101   0.038   0.002
   0.200   4.000   0.105   0.057   0.003
   0.225   4.000   0.109   0.078   0.005
   0.250   4.000   0.118   0.103   0.006
   0.275   4.000   0.129   0.131   0.008
   0.300   4.000   0.142   0.159   0.009
   0.325   3.000   0.154   0.185   0.010
   0.350   3.000   0.165   0.209   0.011
   0.375   3.000   0.176   0.231   0.011
   0.400   4.000   0.185   0.250   0.011
   0.425   4.000   0.194   0.267   0.010
   0.450   4.000   0.202   0.282   0.010
   0.475   4.000   0.209   0.295   0.009
   0.500   4.000   0.207   0.295   0.008
   0.525   4.000   0.206   0.295   0.008
   0.550   4.000   0.204   0.294   0.007
   0.575   4.000   0.203   0.293   0.007
   0.600   4.000   0.201   0.293   0.006
   0.625   4.000   0.199   0.292   0.006
   0.650   4.000   0.197   0.291   0.006
   0.675   4.000   0.195   0.289   0.006
   0.700   4.000   0.193   0.288   0.006
   0.725   4.000   0.191   0.287   0.007
   0.750   4.000   0.189   0.285   0.007
   0.775   4.000   0.186   0.284   0.007
   0.800   4.000   0.184   0.282   0.008
   0.825   4.000   0.182   0.281   0.008
   0.850   4.000   0.179   0.279   0.009
   0.875   4.000   0.177   0.278   0.010
   0.900   4.000   0.174   0.276   0.011
   0.925   4.000   0.172   0.274   0.011
   0.950   4.000   0.169   0.273   0.012
   0.975   4.000   0.167   0.271   0.013
   1.000   4.000   0.164   0.269   0.014
