  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   3.000   0.046   0.009   0.001
   0.025   3.000   0.042   0.010   0.001
   0.050   3.000   0.041   0.014   0.001
   0.075   3.000   0.041   0.021   0.002
   0.100   4.000   0.047   0.034   0.003
   0.125   4.000   0.047   0.044   0.003
   0.150   4.000   0.035   0.041   0.003
   0.175   4.000   0.034   0.045   0.003
   0.200   4.000   0.041   0.056   0.004
   0.225   4.000   0.052   0.073   0.005
   0.250   4.000   0.067   0.094   0.007
   0.275   4.000   0.083   0.119   0.009
   0.300   4.000   0.099   0.145   0.012
   0.325   4.000   0.114   0.171   0.015
   0.350   4.000   0.128   0.195   0.019
   0.375   4.000   0.140   0.217   0.023
   0.400   4.000   0.149   0.236   0.027
   0.425   4.000   0.156   0.253   0.032
   0.450   4.000   0.161   0.266   0.038
   0.475   4.000   0.156   0.262   0.041
   0.500   4.000   0.151   0.258   0.044
   0.525   4.000   0.146   0.254   0.047
   0.550   5.000   0.142   0.251   0.050
   0.575   5.000   0.138   0.248   0.054
   0.600   5.000   0.134   0.245   0.057
   0.625   5.000   0.130   0.242   0.060
   0.650   5.000   0.127   0.239   0.063
   0.675   5.000   0.124   0.237   0.067
   0.700   5.000   0.121   0.234   0.070
   0.725   5.000   0.119   0.232   0.073
   0.750   5.000   0.116   0.230   0.076
   0.775   5.000   0.114   0.228   0.078
   0.800   5.000   0.112   0.226   0.081
   0.825   5.000   0.110   0.224   0.083
   0.850   5.000   0.108   0.223   0.086
   0.875   5.000   0.107   0.221   0.088
   0.900   5.000   0.105   0.220   0.090
   0.925   5.000   0.104   0.219   0.091
   0.950   5.000   0.103   0.218   0.093
   0.975   5.000   0.102   0.217   0.094
   1.000   5.000   0.101   0.216   0.096
