TEXTURE AT STRAIN =    0.8000
   2.732   2.868   0.105  <-- length of phase ellipsoid axes
  103.68    0.74    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
  163.26   50.61 -142.05   0.0003500
