TEXTURE AT STRAIN =    0.3500
   1.039   1.043   0.921  <-- length of phase ellipsoid axes
  103.54   15.55   10.90  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
   95.04  146.29 -104.68   0.0016500
