TEXTURE AT STRAIN =    0.6000
   2.467   2.938   0.115  <-- length of phase ellipsoid axes
  -53.84    1.11   18.85  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
  122.67   51.75 -134.61   0.0003500
