  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  30.000   0.222   0.240   0.470
   0.025  28.000   0.224   0.243   0.475
   0.050  28.000   0.224   0.244   0.477
   0.075  28.000   0.223   0.243   0.475
   0.100  28.000   0.221   0.240   0.469
   0.125  28.000   0.215   0.234   0.458
   0.150  28.000   0.207   0.226   0.440
   0.175  28.000   0.196   0.213   0.417
   0.200  28.000   0.183   0.199   0.389
   0.225  28.000   0.169   0.184   0.359
   0.250  27.000   0.156   0.168   0.329
   0.275  28.000   0.143   0.154   0.302
   0.300  29.000   0.132   0.141   0.277
   0.325  28.000   0.123   0.129   0.254
   0.350  27.000   0.115   0.119   0.235
   0.375  27.000   0.109   0.111   0.220
   0.400  26.000   0.105   0.106   0.211
   0.425  27.000   0.102   0.104   0.206
   0.450  26.000   0.102   0.103   0.205
   0.475  26.000   0.103   0.103   0.206
   0.500  28.000   0.105   0.103   0.207
   0.525  28.000   0.108   0.105   0.212
   0.550  29.000   0.111   0.107   0.216
   0.575  29.000   0.114   0.109   0.220
   0.600  28.000   0.117   0.111   0.225
   0.625  28.000   0.120   0.112   0.229
   0.650  28.000   0.123   0.114   0.233
   0.675  28.000   0.125   0.116   0.237
   0.700  29.000   0.127   0.118   0.241
   0.725  29.000   0.129   0.120   0.245
   0.750  29.000   0.131   0.121   0.249
   0.775  29.000   0.133   0.124   0.253
   0.800  28.000   0.134   0.126   0.256
   0.825  29.000   0.135   0.128   0.260
   0.850  30.000   0.135   0.130   0.263
   0.875  28.000   0.135   0.132   0.266
   0.900  27.000   0.135   0.134   0.269
   0.925  27.000   0.135   0.137   0.272
   0.950  27.000   0.135   0.138   0.274
   0.975  28.000   0.134   0.140   0.276
   1.000  27.000   0.135   0.140   0.277
