  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   4.000   0.057   0.011   0.000
   0.025   4.000   0.048   0.009   0.000
   0.050   4.000   0.045   0.010   0.000
   0.075   4.000   0.045   0.013   0.000
   0.100   4.000   0.050   0.020   0.001
   0.125   4.000   0.057   0.034   0.001
   0.150   4.000   0.068   0.057   0.001
   0.175   4.000   0.083   0.089   0.002
   0.200   4.000   0.100   0.126   0.003
   0.225   4.000   0.118   0.165   0.004
   0.250   4.000   0.137   0.204   0.006
   0.275   4.000   0.153   0.241   0.007
   0.300   4.000   0.167   0.274   0.009
   0.325   4.000   0.179   0.304   0.012
   0.350   4.000   0.187   0.329   0.015
   0.375   4.000   0.193   0.349   0.018
   0.400   4.000   0.195   0.362   0.022
   0.425   4.000   0.195   0.367   0.026
   0.450   4.000   0.193   0.367   0.029
   0.475   4.000   0.191   0.365   0.033
   0.500   4.000   0.188   0.360   0.037
   0.525   4.000   0.182   0.353   0.041
   0.550   5.000   0.176   0.346   0.044
   0.575   6.000   0.171   0.339   0.048
   0.600   7.000   0.165   0.331   0.051
   0.625   7.000   0.160   0.324   0.055
   0.650   7.000   0.155   0.317   0.058
   0.675   7.000   0.151   0.310   0.061
   0.700   7.000   0.147   0.303   0.064
   0.725   8.000   0.143   0.296   0.067
   0.750   7.000   0.139   0.289   0.070
   0.775   7.000   0.136   0.283   0.072
   0.800   7.000   0.133   0.277   0.074
   0.825   7.000   0.130   0.272   0.076
   0.850   7.000   0.128   0.267   0.078
   0.875   7.000   0.125   0.262   0.079
   0.900   7.000   0.124   0.257   0.080
   0.925   7.000   0.122   0.253   0.081
   0.950   7.000   0.122   0.250   0.081
   0.975   7.000   0.122   0.247   0.081
   1.000   7.000   0.122   0.244   0.081
