  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  28.000   0.232   0.230   0.461
   0.025  28.000   0.235   0.232   0.466
   0.050  29.000   0.237   0.232   0.467
   0.075  28.000   0.238   0.231   0.466
   0.100  27.000   0.236   0.229   0.462
   0.125  25.000   0.232   0.226   0.455
   0.150  24.000   0.222   0.219   0.440
   0.175  24.000   0.206   0.208   0.414
   0.200  20.000   0.189   0.194   0.385
   0.225  19.000   0.181   0.190   0.375
   0.250  20.000   0.179   0.190   0.374
   0.275  20.000   0.175   0.188   0.368
   0.300  22.000   0.169   0.182   0.356
   0.325  22.000   0.161   0.175   0.341
   0.350  21.000   0.153   0.167   0.325
   0.375  21.000   0.145   0.158   0.309
   0.400  21.000   0.138   0.151   0.294
   0.425  21.000   0.132   0.143   0.280
   0.450  22.000   0.126   0.137   0.267
   0.475  22.000   0.121   0.131   0.256
   0.500  22.000   0.122   0.132   0.258
   0.525  22.000   0.122   0.132   0.259
   0.550  23.000   0.123   0.133   0.260
   0.575  23.000   0.124   0.134   0.262
   0.600  23.000   0.125   0.135   0.263
   0.625  22.000   0.125   0.135   0.265
   0.650  22.000   0.126   0.136   0.267
   0.675  22.000   0.127   0.137   0.268
   0.700  21.000   0.128   0.138   0.270
   0.725  21.000   0.129   0.139   0.271
   0.750  21.000   0.129   0.139   0.273
   0.775  21.000   0.130   0.140   0.274
   0.800  21.000   0.131   0.141   0.276
   0.825  21.000   0.132   0.142   0.277
   0.850  21.000   0.132   0.142   0.279
   0.875  21.000   0.133   0.143   0.280
   0.900  21.000   0.134   0.144   0.282
   0.925  21.000   0.134   0.145   0.283
   0.950  21.000   0.135   0.145   0.284
   0.975  21.000   0.136   0.146   0.286
   1.000  21.000   0.136   0.146   0.287
