  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  10.000   0.000   0.001   0.003
   0.025  11.000   0.000   0.001   0.003
   0.050  11.000   0.000   0.002   0.006
   0.075  12.000   0.000   0.003   0.008
   0.100  10.000   0.000   0.003   0.007
   0.125  10.000   0.000   0.004   0.009
   0.150  10.000   0.000   0.007   0.014
   0.175  10.000   0.001   0.012   0.026
   0.200  11.000   0.004   0.018   0.042
   0.225  11.000   0.008   0.026   0.063
   0.250  11.000   0.013   0.035   0.087
   0.275  11.000   0.019   0.045   0.115
   0.300  11.000   0.025   0.056   0.144
   0.325  11.000   0.031   0.068   0.174
   0.350  11.000   0.037   0.079   0.203
   0.375  11.000   0.042   0.090   0.228
   0.400  11.000   0.047   0.101   0.250
   0.425  11.000   0.052   0.110   0.269
   0.450  11.000   0.053   0.112   0.264
   0.475  11.000   0.053   0.114   0.261
   0.500  11.000   0.054   0.116   0.257
   0.525  11.000   0.055   0.117   0.254
   0.550  11.000   0.056   0.119   0.250
   0.575  11.000   0.056   0.121   0.247
   0.600  11.000   0.057   0.123   0.243
   0.625  11.000   0.058   0.125   0.240
   0.650  11.000   0.059   0.127   0.237
   0.675  11.000   0.060   0.129   0.233
   0.700  11.000   0.061   0.131   0.230
   0.725  11.000   0.062   0.133   0.227
   0.750  11.000   0.063   0.135   0.224
   0.775  10.000   0.063   0.136   0.220
   0.800  10.000   0.064   0.138   0.217
   0.825  10.000   0.065   0.140   0.214
   0.850  10.000   0.066   0.142   0.211
   0.875   9.000   0.067   0.144   0.208
   0.900   9.000   0.068   0.146   0.205
   0.925   9.000   0.069   0.147   0.201
   0.950   9.000   0.070   0.149   0.198
   0.975   9.000   0.071   0.151   0.195
   1.000   9.000   0.072   0.153   0.192
