          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.62393E+00  0.40212E+03    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.96395E+02  0.16665E+03 -0.26304E+03  0.26020E+02  0.81260E+01  0.54507E+01      982.00
  0.64846E+00  0.40565E+03    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.99599E+02  0.16612E+03 -0.26572E+03  0.26620E+02  0.81032E+01  0.41450E+01      982.00
  0.67302E+00  0.40899E+03    0.35000E+00  0.35000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.10254E+03  0.16568E+03 -0.26822E+03  0.27039E+02  0.80101E+01  0.28065E+01      982.00
  0.69761E+00  0.41245E+03    0.36250E+00  0.36250E+00 -0.72500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.10539E+03  0.16539E+03 -0.27078E+03  0.27360E+02  0.79282E+01  0.15399E+01      982.00
  0.72223E+00  0.41586E+03    0.37500E+00  0.37500E+00 -0.75000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.10811E+03  0.16517E+03 -0.27328E+03  0.27554E+02  0.78373E+01  0.36277E+00      982.00
  0.74688E+00  0.41919E+03    0.38750E+00  0.38750E+00 -0.77500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.11070E+03  0.16500E+03 -0.27570E+03  0.27656E+02  0.77399E+01 -0.73184E+00      982.00
  0.77154E+00  0.42242E+03    0.40000E+00  0.40000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.11318E+03  0.16487E+03 -0.27805E+03  0.27659E+02  0.76410E+01 -0.17190E+01      982.00
  0.79622E+00  0.42554E+03    0.41250E+00  0.41250E+00 -0.82500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.11556E+03  0.16476E+03 -0.28031E+03  0.27577E+02  0.75437E+01 -0.25935E+01      982.00
  0.82093E+00  0.42858E+03    0.42500E+00  0.42500E+00 -0.85000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.11783E+03  0.16468E+03 -0.28251E+03  0.27421E+02  0.74489E+01 -0.33605E+01      982.00
  0.84564E+00  0.43118E+03    0.43750E+00  0.43750E+00 -0.87500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.11989E+03  0.16453E+03 -0.28441E+03  0.27104E+02  0.73324E+01 -0.40227E+01      982.00
  0.87038E+00  0.43440E+03    0.45000E+00  0.45000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.12211E+03  0.16459E+03 -0.28670E+03  0.26966E+02  0.72996E+01 -0.46274E+01      982.00
  0.89513E+00  0.43735E+03    0.46250E+00  0.46250E+00 -0.92500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.12418E+03  0.16462E+03 -0.28880E+03  0.26775E+02  0.72472E+01 -0.51033E+01      982.00
  0.91989E+00  0.44001E+03    0.47500E+00  0.47500E+00 -0.95000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.12611E+03  0.16459E+03 -0.29070E+03  0.26507E+02  0.71858E+01 -0.54936E+01      982.00
  0.94467E+00  0.44229E+03    0.48750E+00  0.48750E+00 -0.97500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.12782E+03  0.16453E+03 -0.29235E+03  0.26134E+02  0.71100E+01 -0.58086E+01      982.00
  0.96946E+00  0.44473E+03    0.50000E+00  0.50000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00    0.12956E+03  0.16453E+03 -0.29409E+03  0.25842E+02  0.70590E+01 -0.60972E+01      982.00
