TEXTURE AT STRAIN =    0.0500
   1.147   1.148   0.735  <-- length of phase ellipsoid axes
   97.24    0.12    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
  131.30   69.06 -130.86   0.0003500
