  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.243   0.254   0.501
   0.025  24.000   0.246   0.252   0.500
   0.050  21.000   0.246   0.251   0.499
   0.075  21.000   0.241   0.254   0.500
   0.100  20.000   0.238   0.256   0.501
   0.125  21.000   0.236   0.256   0.500
   0.150  21.000   0.233   0.254   0.496
   0.175  21.000   0.229   0.249   0.486
   0.200  21.000   0.220   0.240   0.469
   0.225  21.000   0.210   0.228   0.446
   0.250  21.000   0.198   0.216   0.421
   0.275  21.000   0.187   0.204   0.398
   0.300  21.000   0.176   0.192   0.375
   0.325  21.000   0.167   0.182   0.355
   0.350  21.000   0.158   0.172   0.336
   0.375  21.000   0.150   0.163   0.318
   0.400  21.000   0.142   0.155   0.303
   0.425  21.000   0.136   0.148   0.289
   0.450  21.000   0.137   0.149   0.290
   0.475  21.000   0.137   0.149   0.292
   0.500  21.000   0.138   0.150   0.293
   0.525  21.000   0.138   0.150   0.293
   0.550  21.000   0.138   0.151   0.294
   0.575  21.000   0.139   0.151   0.295
   0.600  21.000   0.139   0.151   0.295
   0.625  21.000   0.139   0.151   0.296
   0.650  21.000   0.140   0.152   0.296
   0.675  21.000   0.140   0.152   0.297
   0.700  21.000   0.140   0.152   0.297
   0.725  21.000   0.140   0.152   0.297
   0.750  21.000   0.140   0.152   0.298
   0.775  21.000   0.140   0.152   0.298
   0.800  21.000   0.140   0.152   0.298
   0.825  21.000   0.141   0.153   0.298
   0.850  21.000   0.141   0.153   0.298
   0.875  21.000   0.141   0.153   0.298
   0.900  21.000   0.141   0.153   0.299
   0.925  21.000   0.141   0.153   0.299
   0.950  21.000   0.141   0.153   0.299
   0.975  21.000   0.141   0.153   0.299
   1.000  20.000   0.141   0.153   0.299
