  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   1.000   0.183   0.000   0.000
   0.025   1.000   0.178   0.000   0.000
   0.050   1.000   0.184   0.000   0.000
   0.075   1.000   0.202   0.001   0.001
   0.100   1.000   0.227   0.002   0.003
   0.125   1.000   0.244   0.004   0.009
   0.150   2.000   0.248   0.007   0.017
   0.175   2.000   0.251   0.011   0.031
   0.200   5.000   0.255   0.018   0.052
   0.225   5.000   0.262   0.024   0.077
   0.250   6.000   0.270   0.030   0.101
   0.275   7.000   0.281   0.035   0.124
   0.300   7.000   0.293   0.039   0.144
   0.325   7.000   0.306   0.041   0.161
   0.350   7.000   0.311   0.041   0.172
   0.375   7.000   0.309   0.040   0.179
   0.400   7.000   0.306   0.038   0.184
   0.425   7.000   0.305   0.036   0.190
   0.450   7.000   0.305   0.034   0.196
   0.475   7.000   0.308   0.032   0.202
   0.500   7.000   0.312   0.030   0.209
   0.525   7.000   0.318   0.028   0.216
   0.550   7.000   0.325   0.026   0.224
   0.575   8.000   0.331   0.023   0.231
   0.600   8.000   0.332   0.020   0.231
   0.625   8.000   0.332   0.018   0.230
   0.650   8.000   0.333   0.015   0.230
   0.675   8.000   0.334   0.013   0.230
   0.700   7.000   0.336   0.011   0.230
   0.725   7.000   0.337   0.009   0.230
   0.750   8.000   0.338   0.008   0.230
   0.775   9.000   0.339   0.007   0.230
   0.800  10.000   0.340   0.006   0.230
   0.825  10.000   0.342   0.005   0.231
   0.850  10.000   0.343   0.004   0.231
   0.875  10.000   0.344   0.003   0.231
   0.900  10.000   0.345   0.003   0.231
   0.925  10.000   0.345   0.002   0.231
   0.950  10.000   0.346   0.002   0.231
   0.975  10.000   0.347   0.001   0.231
   1.000  10.000   0.348   0.001   0.231
