  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.169   0.000   0.000
   0.025   2.000   0.166   0.001   0.000
   0.050   2.000   0.161   0.001   0.001
   0.075   2.000   0.145   0.001   0.001
   0.100   2.000   0.134   0.001   0.001
   0.125   2.000   0.129   0.002   0.001
   0.150   2.000   0.128   0.003   0.002
   0.175   2.000   0.131   0.006   0.004
   0.200   3.000   0.137   0.011   0.008
   0.225   3.000   0.145   0.021   0.015
   0.250   6.000   0.156   0.035   0.027
   0.275   6.000   0.168   0.051   0.041
   0.300   6.000   0.181   0.067   0.056
   0.325   6.000   0.193   0.082   0.070
   0.350   7.000   0.205   0.096   0.084
   0.375   7.000   0.217   0.108   0.096
   0.400   8.000   0.226   0.119   0.107
   0.425   8.000   0.235   0.128   0.117
   0.450   8.000   0.243   0.136   0.125
   0.475   7.000   0.250   0.143   0.132
   0.500   7.000   0.257   0.149   0.139
   0.525   7.000   0.256   0.149   0.138
   0.550   7.000   0.256   0.149   0.138
   0.575   8.000   0.257   0.149   0.137
   0.600   8.000   0.257   0.149   0.136
   0.625   8.000   0.257   0.149   0.135
   0.650   8.000   0.257   0.149   0.134
   0.675   8.000   0.257   0.150   0.133
   0.700   8.000   0.257   0.151   0.131
   0.725   8.000   0.258   0.152   0.130
   0.750   8.000   0.258   0.153   0.128
   0.775   8.000   0.258   0.154   0.126
   0.800   8.000   0.258   0.156   0.124
   0.825   8.000   0.257   0.157   0.122
   0.850   8.000   0.257   0.159   0.120
   0.875   8.000   0.257   0.162   0.117
   0.900   8.000   0.256   0.164   0.114
   0.925   8.000   0.256   0.167   0.111
   0.950   8.000   0.255   0.171   0.108
   0.975   8.000   0.254   0.174   0.105
   1.000   8.000   0.253   0.178   0.101
