  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.233   0.245   0.483
   0.025  20.000   0.233   0.250   0.490
   0.050  21.000   0.232   0.252   0.493
   0.075  21.000   0.232   0.253   0.493
   0.100  21.000   0.231   0.252   0.492
   0.125  21.000   0.230   0.250   0.489
   0.150  21.000   0.227   0.247   0.482
   0.175  21.000   0.222   0.242   0.472
   0.200  21.000   0.214   0.234   0.456
   0.225  21.000   0.205   0.223   0.436
   0.250  21.000   0.194   0.211   0.413
   0.275  21.000   0.183   0.198   0.388
   0.300  20.000   0.172   0.186   0.364
   0.325  20.000   0.162   0.174   0.341
   0.350  20.000   0.153   0.164   0.321
   0.375  21.000   0.146   0.154   0.304
   0.400  21.000   0.139   0.147   0.289
   0.425  21.000   0.133   0.140   0.276
   0.450  20.000   0.134   0.142   0.279
   0.475  20.000   0.135   0.144   0.282
   0.500  20.000   0.136   0.145   0.284
   0.525  20.000   0.136   0.146   0.286
   0.550  20.000   0.137   0.147   0.288
   0.575  20.000   0.137   0.148   0.289
   0.600  20.000   0.138   0.148   0.291
   0.625  20.000   0.138   0.149   0.292
   0.650  20.000   0.139   0.149   0.293
   0.675  20.000   0.139   0.150   0.293
   0.700  20.000   0.139   0.150   0.294
   0.725  20.000   0.140   0.151   0.295
   0.750  20.000   0.140   0.151   0.295
   0.775  20.000   0.140   0.151   0.296
   0.800  20.000   0.140   0.151   0.296
   0.825  20.000   0.141   0.152   0.297
   0.850  20.000   0.141   0.152   0.297
   0.875  20.000   0.141   0.152   0.298
   0.900  20.000   0.141   0.152   0.298
   0.925  20.000   0.141   0.153   0.299
   0.950  20.000   0.142   0.153   0.299
   0.975  20.000   0.142   0.153   0.299
   1.000  20.000   0.142   0.153   0.300
