  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   8.000   0.009   0.015   0.008
   0.025   8.000   0.005   0.008   0.004
   0.050   8.000   0.003   0.005   0.002
   0.075   8.000   0.002   0.005   0.002
   0.100   8.000   0.002   0.006   0.003
   0.125   8.000   0.003   0.009   0.004
   0.150   8.000   0.005   0.014   0.006
   0.175   8.000   0.009   0.022   0.010
   0.200   8.000   0.014   0.035   0.017
   0.225   8.000   0.022   0.052   0.026
   0.250   9.000   0.031   0.073   0.038
   0.275   9.000   0.042   0.097   0.052
   0.300  10.000   0.052   0.120   0.069
   0.325  10.000   0.061   0.143   0.087
   0.350  10.000   0.070   0.163   0.105
   0.375  10.000   0.077   0.180   0.124
   0.400  10.000   0.082   0.193   0.141
   0.425  10.000   0.080   0.189   0.144
   0.450  10.000   0.079   0.185   0.147
   0.475  10.000   0.078   0.183   0.150
   0.500  10.000   0.076   0.180   0.152
   0.525  10.000   0.075   0.178   0.154
   0.550  10.000   0.074   0.177   0.156
   0.575  10.000   0.074   0.175   0.157
   0.600  10.000   0.073   0.174   0.158
   0.625  10.000   0.073   0.174   0.159
   0.650  10.000   0.072   0.173   0.160
   0.675  10.000   0.072   0.172   0.160
   0.700  10.000   0.072   0.172   0.160
   0.725  10.000   0.072   0.172   0.160
   0.750  10.000   0.072   0.172   0.160
   0.775  10.000   0.072   0.172   0.159
   0.800  10.000   0.072   0.173   0.159
   0.825  10.000   0.072   0.173   0.158
   0.850  10.000   0.073   0.174   0.157
   0.875  10.000   0.073   0.174   0.156
   0.900  10.000   0.073   0.175   0.155
   0.925  10.000   0.074   0.176   0.154
   0.950  10.000   0.074   0.177   0.153
   0.975  10.000   0.074   0.177   0.152
   1.000  10.000   0.075   0.178   0.150
