  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.157   0.001   0.000
   0.025   2.000   0.144   0.001   0.000
   0.050   2.000   0.139   0.001   0.000
   0.075   2.000   0.142   0.001   0.000
   0.100   2.000   0.152   0.002   0.001
   0.125   2.000   0.168   0.005   0.002
   0.150   3.000   0.190   0.014   0.006
   0.175   3.000   0.220   0.035   0.020
   0.200   5.000   0.241   0.055   0.038
   0.225   6.000   0.248   0.065   0.048
   0.250   7.000   0.255   0.078   0.060
   0.275   7.000   0.265   0.092   0.074
   0.300   7.000   0.276   0.108   0.089
   0.325   8.000   0.286   0.122   0.102
   0.350   8.000   0.296   0.135   0.113
   0.375   8.000   0.305   0.146   0.122
   0.400   8.000   0.312   0.156   0.130
   0.425   8.000   0.319   0.166   0.136
   0.450   8.000   0.325   0.174   0.141
   0.475   8.000   0.330   0.182   0.145
   0.500   8.000   0.334   0.190   0.147
   0.525   8.000   0.338   0.198   0.149
   0.550   8.000   0.341   0.205   0.149
   0.575   8.000   0.340   0.209   0.146
   0.600   8.000   0.338   0.213   0.143
   0.625   8.000   0.337   0.218   0.139
   0.650   8.000   0.335   0.223   0.135
   0.675   8.000   0.334   0.228   0.130
   0.700   8.000   0.332   0.234   0.125
   0.725   8.000   0.330   0.241   0.120
   0.750   8.000   0.329   0.248   0.114
   0.775   8.000   0.327   0.255   0.108
   0.800   8.000   0.325   0.262   0.102
   0.825   8.000   0.323   0.270   0.095
   0.850   8.000   0.321   0.278   0.088
   0.875   8.000   0.318   0.286   0.081
   0.900   8.000   0.316   0.294   0.074
   0.925   7.000   0.314   0.302   0.066
   0.950   5.000   0.311   0.310   0.059
   0.975   3.000   0.309   0.317   0.052
   1.000   3.000   0.306   0.324   0.046
