  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.190   0.197   0.390
   0.025  20.000   0.193   0.203   0.400
   0.050  21.000   0.196   0.207   0.407
   0.075  21.000   0.198   0.209   0.412
   0.100  21.000   0.199   0.211   0.415
   0.125  21.000   0.199   0.211   0.415
   0.150  21.000   0.199   0.210   0.414
   0.175  21.000   0.198   0.208   0.410
   0.200  21.000   0.196   0.205   0.404
   0.225  21.000   0.191   0.199   0.394
   0.250  21.000   0.184   0.192   0.379
   0.275  21.000   0.175   0.183   0.361
   0.300  21.000   0.166   0.173   0.342
   0.325  21.000   0.156   0.163   0.322
   0.350  21.000   0.146   0.154   0.304
   0.375  21.000   0.138   0.146   0.288
   0.400  21.000   0.131   0.139   0.273
   0.425  21.000   0.124   0.132   0.260
   0.450  21.000   0.119   0.126   0.248
   0.475  21.000   0.114   0.121   0.238
   0.500  21.000   0.109   0.117   0.229
   0.525  21.000   0.105   0.112   0.220
   0.550  21.000   0.101   0.109   0.213
   0.575  21.000   0.101   0.109   0.213
   0.600  21.000   0.101   0.109   0.213
   0.625  21.000   0.101   0.109   0.213
   0.650  21.000   0.101   0.109   0.213
   0.675  21.000   0.101   0.108   0.213
   0.700  21.000   0.101   0.108   0.213
   0.725  21.000   0.101   0.108   0.212
   0.750  21.000   0.101   0.108   0.212
   0.775  21.000   0.101   0.108   0.212
   0.800  21.000   0.101   0.108   0.212
   0.825  23.000   0.101   0.108   0.212
   0.850  23.000   0.101   0.108   0.212
   0.875  23.000   0.100   0.108   0.211
   0.900  23.000   0.100   0.108   0.211
   0.925  23.000   0.100   0.108   0.211
   0.950  23.000   0.100   0.108   0.211
   0.975  23.000   0.100   0.108   0.211
   1.000  23.000   0.100   0.108   0.211
