  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.178   0.181   0.360
   0.025  19.000   0.182   0.189   0.374
   0.050  19.000   0.186   0.197   0.387
   0.075  19.000   0.190   0.202   0.397
   0.100  21.000   0.193   0.206   0.404
   0.125  21.000   0.195   0.208   0.408
   0.150  21.000   0.196   0.208   0.409
   0.175  21.000   0.195   0.207   0.407
   0.200  21.000   0.194   0.204   0.402
   0.225  21.000   0.190   0.199   0.393
   0.250  21.000   0.183   0.192   0.379
   0.275  21.000   0.175   0.183   0.362
   0.300  21.000   0.165   0.174   0.342
   0.325  21.000   0.155   0.164   0.322
   0.350  21.000   0.146   0.155   0.304
   0.375  21.000   0.138   0.146   0.288
   0.400  21.000   0.130   0.139   0.273
   0.425  21.000   0.124   0.132   0.260
   0.450  21.000   0.118   0.127   0.248
   0.475  21.000   0.113   0.121   0.238
   0.500  23.000   0.109   0.117   0.229
   0.525  23.000   0.105   0.112   0.221
   0.550  23.000   0.101   0.109   0.213
   0.575  22.000   0.101   0.109   0.214
   0.600  21.000   0.102   0.109   0.214
   0.625  21.000   0.102   0.109   0.214
   0.650  21.000   0.102   0.109   0.214
   0.675  21.000   0.102   0.109   0.214
   0.700  21.000   0.102   0.109   0.214
   0.725  21.000   0.101   0.109   0.214
   0.750  23.000   0.101   0.109   0.213
   0.775  23.000   0.101   0.109   0.213
   0.800  23.000   0.101   0.109   0.213
   0.825  23.000   0.101   0.109   0.213
   0.850  23.000   0.101   0.109   0.213
   0.875  23.000   0.101   0.109   0.213
   0.900  23.000   0.101   0.109   0.213
   0.925  23.000   0.101   0.108   0.212
   0.950  23.000   0.101   0.108   0.212
   0.975  23.000   0.101   0.108   0.212
   1.000  23.000   0.101   0.108   0.212
