          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.17496E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.52381E+02  0.53269E+02 -0.10565E+03 -0.15252E+01 -0.33801E+01  0.42643E+02      982.00
  0.22644E-01  0.17444E+03    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.51183E+02  0.53778E+02 -0.10496E+03 -0.56811E+00 -0.36713E+01  0.43181E+02      982.00
  0.45209E-01  0.17575E+03    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.50859E+02  0.54194E+02 -0.10505E+03 -0.31718E-01 -0.39085E+01  0.44726E+02      982.00
  0.67624E-01  0.18007E+03    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.51291E+02  0.55120E+02 -0.10641E+03  0.18187E+00 -0.40265E+01  0.47912E+02      982.00
  0.89785E-01  0.18836E+03    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.52541E+02  0.56862E+02 -0.10940E+03  0.10927E+00 -0.40441E+01  0.53189E+02      982.00
  0.11157E+00  0.20191E+03    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.54758E+02  0.59705E+02 -0.11446E+03 -0.18497E+00 -0.40228E+01  0.61164E+02      982.00
  0.13282E+00  0.22214E+03    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58117E+02  0.63924E+02 -0.12204E+03 -0.64227E+00 -0.40206E+01  0.72477E+02      982.00
  0.15343E+00  0.25090E+03    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.62851E+02  0.69850E+02 -0.13270E+03 -0.12085E+01 -0.41056E+01  0.88013E+02      982.00
  0.17326E+00  0.28904E+03    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.69034E+02  0.77593E+02 -0.14663E+03 -0.18600E+01 -0.42954E+01  0.10809E+03      982.00
  0.19228E+00  0.33454E+03    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.76314E+02  0.86708E+02 -0.16302E+03 -0.25538E+01 -0.45704E+01  0.13161E+03      982.00
  0.21056E+00  0.38078E+03    0.12500E+00  0.12500E+00 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.83675E+02  0.95875E+02 -0.17955E+03 -0.32258E+01 -0.48433E+01  0.15518E+03      982.00
  0.22824E+00  0.42108E+03    0.13750E+00  0.13750E+00 -0.27500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.90135E+02  0.10380E+03 -0.19394E+03 -0.38089E+01 -0.50433E+01  0.17552E+03      982.00
  0.24551E+00  0.45328E+03    0.15000E+00  0.15000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.95386E+02  0.11008E+03 -0.20547E+03 -0.42698E+01 -0.51643E+01  0.19164E+03      982.00
  0.26251E+00  0.47826E+03    0.16250E+00  0.16250E+00 -0.32500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.99535E+02  0.11487E+03 -0.21440E+03 -0.45751E+01 -0.52531E+01  0.20411E+03      982.00
  0.27932E+00  0.49739E+03    0.17500E+00  0.17500E+00 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.10288E+03  0.11845E+03 -0.22133E+03 -0.48149E+01 -0.52809E+01  0.21358E+03      982.00
