  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.209   0.208   0.417
   0.025  24.000   0.214   0.215   0.429
   0.050  25.000   0.217   0.220   0.438
   0.075  27.000   0.217   0.224   0.443
   0.100  27.000   0.214   0.225   0.444
   0.125  27.000   0.210   0.223   0.438
   0.150  27.000   0.202   0.217   0.425
   0.175  27.000   0.191   0.206   0.403
   0.200  27.000   0.178   0.193   0.377
   0.225  29.000   0.164   0.178   0.348
   0.250  28.000   0.151   0.164   0.321
   0.275  28.000   0.139   0.151   0.295
   0.300  28.000   0.128   0.140   0.273
   0.325  28.000   0.119   0.130   0.253
   0.350  28.000   0.111   0.121   0.236
   0.375  29.000   0.104   0.113   0.222
   0.400  28.000   0.099   0.107   0.209
   0.425  27.000   0.094   0.101   0.198
   0.450  27.000   0.089   0.096   0.188
   0.475  27.000   0.086   0.091   0.179
   0.500  28.000   0.083   0.087   0.172
   0.525  27.000   0.081   0.083   0.166
   0.550  27.000   0.082   0.084   0.167
   0.575  27.000   0.084   0.085   0.169
   0.600  27.000   0.085   0.086   0.171
   0.625  27.000   0.087   0.087   0.174
   0.650  25.000   0.088   0.088   0.177
   0.675  25.000   0.090   0.090   0.180
   0.700  25.000   0.091   0.092   0.183
   0.725  25.000   0.093   0.094   0.187
   0.750  25.000   0.095   0.096   0.191
   0.775  25.000   0.097   0.098   0.195
   0.800  24.000   0.100   0.100   0.199
   0.825  26.000   0.102   0.102   0.204
   0.850  25.000   0.105   0.104   0.208
   0.875  25.000   0.107   0.106   0.212
   0.900  25.000   0.110   0.108   0.216
   0.925  26.000   0.113   0.109   0.221
   0.950  27.000   0.116   0.111   0.225
   0.975  27.000   0.119   0.113   0.230
   1.000  27.000   0.121   0.116   0.234
