TEXTURE AT STRAIN =    0.4500
   1.061   1.103   0.852  <-- length of phase ellipsoid axes
  126.53    6.02 -110.23  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
  107.43  130.06 -106.86   0.0016500
