  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   3.000   0.134   0.006   0.000
   0.025   3.000   0.125   0.007   0.000
   0.050   3.000   0.125   0.010   0.000
   0.075   3.000   0.129   0.017   0.000
   0.100   3.000   0.134   0.028   0.001
   0.125   3.000   0.139   0.045   0.002
   0.150   4.000   0.145   0.067   0.002
   0.175   4.000   0.153   0.092   0.003
   0.200   4.000   0.161   0.119   0.004
   0.225   4.000   0.171   0.145   0.005
   0.250   4.000   0.181   0.170   0.005
   0.275   4.000   0.190   0.194   0.005
   0.300   4.000   0.199   0.215   0.005
   0.325   4.000   0.208   0.236   0.005
   0.350   4.000   0.216   0.254   0.005
   0.375   4.000   0.224   0.272   0.005
   0.400   4.000   0.232   0.288   0.004
   0.425   4.000   0.238   0.302   0.004
   0.450   4.000   0.244   0.314   0.004
   0.475   4.000   0.249   0.324   0.004
   0.500   4.000   0.252   0.333   0.004
   0.525   4.000   0.255   0.339   0.004
   0.550   4.000   0.251   0.337   0.004
   0.575   4.000   0.247   0.335   0.004
   0.600   4.000   0.243   0.332   0.004
   0.625   4.000   0.238   0.330   0.005
   0.650   4.000   0.234   0.327   0.005
   0.675   4.000   0.230   0.325   0.006
   0.700   4.000   0.225   0.322   0.007
   0.725   4.000   0.221   0.320   0.007
   0.750   4.000   0.217   0.318   0.008
   0.775   4.000   0.213   0.316   0.009
   0.800   4.000   0.209   0.314   0.010
   0.825   4.000   0.205   0.312   0.011
   0.850   4.000   0.201   0.311   0.013
   0.875   4.000   0.197   0.310   0.014
   0.900   4.000   0.193   0.309   0.015
   0.925   4.000   0.189   0.308   0.017
   0.950   4.000   0.184   0.307   0.018
   0.975   4.000   0.178   0.306   0.020
   1.000   4.000   0.173   0.302   0.021
