  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  24.000   0.204   0.210   0.416
   0.025  22.000   0.208   0.209   0.417
   0.050  20.000   0.209   0.211   0.421
   0.075  20.000   0.208   0.218   0.431
   0.100  21.000   0.209   0.222   0.437
   0.125  20.000   0.209   0.224   0.439
   0.150  22.000   0.208   0.224   0.438
   0.175  22.000   0.207   0.221   0.434
   0.200  22.000   0.203   0.217   0.426
   0.225  22.000   0.197   0.211   0.413
   0.250  22.000   0.188   0.201   0.395
   0.275  22.000   0.178   0.191   0.374
   0.300  22.000   0.167   0.179   0.351
   0.325  23.000   0.156   0.168   0.330
   0.350  22.000   0.147   0.158   0.310
   0.375  22.000   0.138   0.149   0.292
   0.400  22.000   0.131   0.141   0.276
   0.425  22.000   0.124   0.134   0.262
   0.450  22.000   0.118   0.128   0.250
   0.475  22.000   0.113   0.122   0.239
   0.500  22.000   0.109   0.117   0.229
   0.525  22.000   0.109   0.117   0.230
   0.550  22.000   0.109   0.118   0.230
   0.575  22.000   0.109   0.118   0.231
   0.600  22.000   0.109   0.118   0.231
   0.625  22.000   0.109   0.118   0.231
   0.650  22.000   0.109   0.118   0.232
   0.675  22.000   0.110   0.119   0.232
   0.700  22.000   0.110   0.119   0.233
   0.725  22.000   0.110   0.119   0.233
   0.750  22.000   0.110   0.119   0.233
   0.775  22.000   0.110   0.120   0.234
   0.800  22.000   0.111   0.120   0.234
   0.825  22.000   0.111   0.120   0.235
   0.850  22.000   0.111   0.121   0.236
   0.875  22.000   0.112   0.121   0.236
   0.900  22.000   0.112   0.121   0.237
   0.925  22.000   0.112   0.122   0.238
   0.950  22.000   0.113   0.122   0.239
   0.975  22.000   0.113   0.123   0.240
   1.000  22.000   0.114   0.123   0.241
