  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.216   0.200   0.409
   0.025  27.000   0.217   0.201   0.412
   0.050  26.000   0.214   0.201   0.409
   0.075  23.000   0.207   0.198   0.401
   0.100  20.000   0.198   0.193   0.389
   0.125  20.000   0.190   0.187   0.376
   0.150  21.000   0.184   0.183   0.366
   0.175  20.000   0.175   0.177   0.353
   0.200  19.000   0.163   0.169   0.335
   0.225  17.000   0.149   0.158   0.310
   0.250  16.000   0.139   0.149   0.293
   0.275  18.000   0.139   0.151   0.295
   0.300  20.000   0.140   0.153   0.298
   0.325  19.000   0.140   0.152   0.298
   0.350  20.000   0.138   0.150   0.293
   0.375  20.000   0.134   0.146   0.286
   0.400  20.000   0.130   0.142   0.277
   0.425  21.000   0.125   0.136   0.266
   0.450  21.000   0.120   0.131   0.255
   0.475  21.000   0.115   0.125   0.245
   0.500  22.000   0.110   0.120   0.235
   0.525  22.000   0.106   0.115   0.225
   0.550  22.000   0.102   0.111   0.217
   0.575  22.000   0.102   0.111   0.216
   0.600  22.000   0.101   0.110   0.215
   0.625  22.000   0.101   0.110   0.214
   0.650  22.000   0.101   0.109   0.214
   0.675  22.000   0.101   0.109   0.213
   0.700  22.000   0.100   0.109   0.212
   0.725  22.000   0.100   0.108   0.212
   0.750  22.000   0.100   0.108   0.212
   0.775  22.000   0.100   0.108   0.211
   0.800  22.000   0.100   0.108   0.211
   0.825  22.000   0.100   0.108   0.211
   0.850  22.000   0.099   0.107   0.210
   0.875  23.000   0.099   0.107   0.210
   0.900  23.000   0.099   0.107   0.210
   0.925  23.000   0.099   0.107   0.210
   0.950  23.000   0.099   0.107   0.210
   0.975  23.000   0.099   0.107   0.209
   1.000  23.000   0.099   0.107   0.209
