  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  10.000   0.000   0.000   0.001
   0.025  10.000   0.000   0.000   0.001
   0.050  10.000   0.000   0.000   0.001
   0.075  10.000   0.000   0.000   0.002
   0.100  10.000   0.000   0.000   0.003
   0.125  10.000   0.000   0.001   0.009
   0.150  11.000   0.000   0.003   0.025
   0.175  11.000   0.000   0.008   0.067
   0.200  11.000   0.000   0.016   0.128
   0.225  11.000   0.002   0.023   0.188
   0.250  12.000   0.005   0.031   0.239
   0.275  12.000   0.008   0.039   0.284
   0.300  12.000   0.011   0.048   0.321
   0.325  13.000   0.015   0.056   0.350
   0.350  13.000   0.019   0.065   0.373
   0.375  13.000   0.024   0.074   0.389
   0.400  13.000   0.028   0.083   0.400
   0.425  13.000   0.033   0.093   0.407
   0.450  13.000   0.037   0.102   0.409
   0.475  12.000   0.042   0.111   0.409
   0.500  12.000   0.044   0.117   0.398
   0.525  12.000   0.047   0.123   0.387
   0.550  12.000   0.049   0.129   0.376
   0.575  12.000   0.051   0.134   0.366
   0.600  12.000   0.053   0.139   0.355
   0.625  12.000   0.055   0.144   0.345
   0.650  12.000   0.057   0.148   0.336
   0.675  11.000   0.059   0.152   0.326
   0.700  11.000   0.061   0.155   0.317
   0.725  11.000   0.063   0.159   0.308
   0.750  11.000   0.064   0.162   0.299
   0.775  11.000   0.066   0.164   0.290
   0.800  11.000   0.067   0.167   0.282
   0.825  11.000   0.069   0.169   0.274
   0.850  11.000   0.070   0.171   0.266
   0.875  10.000   0.071   0.173   0.258
   0.900  10.000   0.072   0.174   0.251
   0.925  10.000   0.073   0.176   0.243
   0.950  10.000   0.075   0.177   0.236
   0.975  10.000   0.076   0.178   0.229
   1.000  10.000   0.077   0.179   0.222
