  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.222   0.224   0.448
   0.025  20.000   0.223   0.226   0.450
   0.050  21.000   0.225   0.232   0.459
   0.075  20.000   0.224   0.236   0.465
   0.100  22.000   0.223   0.237   0.466
   0.125  22.000   0.221   0.237   0.464
   0.150  23.000   0.218   0.234   0.459
   0.175  23.000   0.213   0.230   0.450
   0.200  23.000   0.206   0.223   0.436
   0.225  23.000   0.197   0.213   0.417
   0.250  23.000   0.186   0.202   0.395
   0.275  22.000   0.176   0.191   0.373
   0.300  21.000   0.165   0.180   0.351
   0.325  21.000   0.156   0.169   0.331
   0.350  21.000   0.147   0.160   0.312
   0.375  21.000   0.139   0.152   0.296
   0.400  21.000   0.132   0.144   0.281
   0.425  21.000   0.126   0.137   0.268
   0.450  21.000   0.121   0.131   0.257
   0.475  21.000   0.116   0.126   0.246
   0.500  21.000   0.117   0.127   0.248
   0.525  21.000   0.117   0.127   0.249
   0.550  21.000   0.118   0.128   0.250
   0.575  20.000   0.119   0.129   0.252
   0.600  21.000   0.120   0.129   0.254
   0.625  21.000   0.121   0.130   0.255
   0.650  21.000   0.122   0.131   0.257
   0.675  21.000   0.123   0.132   0.259
   0.700  21.000   0.124   0.133   0.260
   0.725  21.000   0.125   0.134   0.262
   0.750  21.000   0.126   0.135   0.264
   0.775  21.000   0.127   0.135   0.266
   0.800  21.000   0.127   0.136   0.268
   0.825  21.000   0.128   0.137   0.269
   0.850  21.000   0.129   0.138   0.271
   0.875  21.000   0.130   0.139   0.273
   0.900  21.000   0.131   0.140   0.274
   0.925  21.000   0.132   0.141   0.276
   0.950  21.000   0.132   0.141   0.277
   0.975  21.000   0.133   0.142   0.279
   1.000  21.000   0.134   0.143   0.280
