          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.16243E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58978E+02  0.48351E+02 -0.10733E+03 -0.62210E+01  0.76862E+00  0.93422E+01      982.00
  0.24779E-01  0.15746E+03    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.57175E+02  0.46846E+02 -0.10402E+03 -0.50647E+01  0.18241E+01  0.96961E+01      982.00
  0.49552E-01  0.15841E+03    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.56635E+02  0.47900E+02 -0.10453E+03 -0.46377E+01  0.24250E+01  0.11078E+02      982.00
  0.74298E-01  0.16590E+03    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.57260E+02  0.51956E+02 -0.10922E+03 -0.48249E+01  0.26418E+01  0.13808E+02      982.00
  0.98985E-01  0.18139E+03    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.58930E+02  0.59875E+02 -0.11881E+03 -0.55623E+01  0.25109E+01  0.18532E+02      982.00
  0.12355E+00  0.20695E+03    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.61554E+02  0.72721E+02 -0.13427E+03 -0.67984E+01  0.20468E+01  0.25927E+02      982.00
  0.14788E+00  0.24132E+03    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.64814E+02  0.89791E+02 -0.15460E+03 -0.82912E+01  0.13065E+01  0.35475E+02      982.00
  0.17190E+00  0.27592E+03    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.68068E+02  0.10687E+03 -0.17494E+03 -0.96169E+01  0.35651E+00  0.44204E+02      982.00
  0.19568E+00  0.30162E+03    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.70111E+02  0.12010E+03 -0.19021E+03 -0.10584E+02 -0.65811E+00  0.49537E+02      982.00
  0.21933E+00  0.31286E+03    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.72489E+02  0.12432E+03 -0.19681E+03 -0.10817E+02 -0.10836E+01  0.52778E+02      982.00
  0.24292E+00  0.31816E+03    0.12500E+00  0.12500E+00 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.76115E+02  0.12388E+03 -0.19999E+03 -0.10642E+02 -0.16139E+01  0.55304E+02      982.00
