TEXTURE AT STRAIN =    0.7500
   2.124   3.179   0.126  <-- length of phase ellipsoid axes
  -56.27    1.34 -171.95  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
  133.22   56.70 -134.96   0.0003500
