  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   7.000   0.004   0.011   0.005
   0.025   7.000   0.004   0.011   0.005
   0.050   7.000   0.005   0.013   0.006
   0.075   6.000   0.006   0.017   0.007
   0.100   6.000   0.008   0.024   0.010
   0.125   6.000   0.016   0.032   0.014
   0.150   6.000   0.018   0.034   0.015
   0.175   6.000   0.014   0.036   0.015
   0.200   6.000   0.017   0.043   0.018
   0.225   6.000   0.024   0.054   0.023
   0.250   7.000   0.034   0.069   0.031
   0.275   7.000   0.046   0.088   0.041
   0.300   7.000   0.059   0.110   0.055
   0.325   7.000   0.071   0.132   0.070
   0.350   8.000   0.082   0.152   0.087
   0.375   8.000   0.090   0.170   0.105
   0.400   8.000   0.097   0.184   0.122
   0.425   8.000   0.102   0.195   0.139
   0.450   8.000   0.099   0.190   0.142
   0.475   8.000   0.097   0.185   0.145
   0.500   8.000   0.094   0.182   0.148
   0.525   8.000   0.093   0.179   0.150
   0.550   8.000   0.091   0.177   0.153
   0.575   8.000   0.090   0.175   0.154
   0.600   8.000   0.089   0.173   0.156
   0.625   8.000   0.089   0.172   0.157
   0.650   8.000   0.088   0.171   0.158
   0.675   8.000   0.088   0.170   0.159
   0.700   8.000   0.087   0.170   0.159
   0.725   8.000   0.087   0.169   0.159
   0.750   8.000   0.087   0.169   0.159
   0.775   8.000   0.087   0.169   0.159
   0.800   8.000   0.087   0.170   0.158
   0.825   8.000   0.087   0.170   0.157
   0.850   8.000   0.087   0.170   0.157
   0.875   8.000   0.088   0.171   0.156
   0.900   8.000   0.088   0.171   0.154
   0.925   8.000   0.088   0.172   0.153
   0.950   8.000   0.089   0.173   0.152
   0.975   8.000   0.089   0.174   0.150
   1.000   8.000   0.089   0.174   0.149
