  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.246   0.245   0.490
   0.025  22.000   0.242   0.247   0.491
   0.050  21.000   0.238   0.248   0.490
   0.075  21.000   0.234   0.248   0.488
   0.100  20.000   0.230   0.246   0.482
   0.125  18.000   0.226   0.240   0.472
   0.150  19.000   0.225   0.238   0.469
   0.175  21.000   0.225   0.240   0.470
   0.200  21.000   0.221   0.237   0.465
   0.225  23.000   0.214   0.232   0.453
   0.250  22.000   0.206   0.223   0.437
   0.275  21.000   0.196   0.213   0.416
   0.300  22.000   0.185   0.200   0.392
   0.325  23.000   0.173   0.187   0.367
   0.350  21.000   0.162   0.175   0.342
   0.375  21.000   0.152   0.163   0.320
   0.400  21.000   0.143   0.153   0.300
   0.425  21.000   0.136   0.144   0.283
   0.450  21.000   0.137   0.146   0.286
   0.475  21.000   0.138   0.147   0.288
   0.500  21.000   0.138   0.148   0.290
   0.525  22.000   0.139   0.148   0.291
   0.550  22.000   0.139   0.149   0.292
   0.575  22.000   0.139   0.149   0.292
   0.600  23.000   0.139   0.149   0.293
   0.625  23.000   0.139   0.150   0.293
   0.650  23.000   0.139   0.150   0.294
   0.675  23.000   0.140   0.150   0.294
   0.700  23.000   0.140   0.150   0.294
   0.725  23.000   0.140   0.150   0.294
   0.750  23.000   0.140   0.150   0.294
   0.775  23.000   0.140   0.150   0.295
   0.800  23.000   0.140   0.150   0.295
   0.825  23.000   0.140   0.151   0.295
   0.850  23.000   0.140   0.151   0.295
   0.875  23.000   0.140   0.151   0.295
   0.900  23.000   0.140   0.151   0.295
   0.925  23.000   0.140   0.151   0.295
   0.950  23.000   0.140   0.151   0.296
   0.975  22.000   0.141   0.151   0.296
   1.000  22.000   0.141   0.151   0.296
