TEXTURE AT STRAIN =    0.7000
   2.419   3.032   0.114  <-- length of phase ellipsoid axes
  -43.77    1.16  171.97  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
  136.98   51.82 -134.64   0.0003500
