  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   4.000   0.091   0.022   0.001
   0.025   4.000   0.070   0.015   0.000
   0.050   4.000   0.057   0.013   0.000
   0.075   4.000   0.053   0.015   0.000
   0.100   4.000   0.054   0.022   0.000
   0.125   4.000   0.060   0.037   0.001
   0.150   4.000   0.070   0.061   0.001
   0.175   4.000   0.085   0.094   0.002
   0.200   4.000   0.102   0.133   0.002
   0.225   4.000   0.121   0.173   0.003
   0.250   3.000   0.139   0.213   0.004
   0.275   3.000   0.156   0.250   0.005
   0.300   3.000   0.170   0.283   0.007
   0.325   3.000   0.182   0.313   0.009
   0.350   3.000   0.191   0.337   0.011
   0.375   3.000   0.198   0.356   0.014
   0.400   3.000   0.201   0.367   0.017
   0.425   4.000   0.202   0.371   0.020
   0.450   4.000   0.201   0.371   0.023
   0.475   4.000   0.200   0.367   0.026
   0.500   4.000   0.197   0.363   0.030
   0.525   4.000   0.192   0.355   0.033
   0.550   4.000   0.186   0.347   0.036
   0.575   4.000   0.181   0.338   0.039
   0.600   5.000   0.176   0.330   0.042
   0.625   6.000   0.171   0.321   0.045
   0.650   6.000   0.167   0.313   0.048
   0.675   6.000   0.162   0.305   0.051
   0.700   6.000   0.158   0.297   0.054
   0.725   6.000   0.154   0.289   0.056
   0.750   6.000   0.150   0.281   0.058
   0.775   6.000   0.147   0.275   0.060
   0.800   6.000   0.144   0.268   0.061
   0.825   6.000   0.142   0.262   0.062
   0.850   6.000   0.141   0.257   0.063
   0.875   6.000   0.141   0.250   0.063
   0.900   6.000   0.139   0.241   0.062
   0.925   6.000   0.135   0.232   0.060
   0.950   6.000   0.130   0.225   0.058
   0.975   6.000   0.126   0.221   0.057
   1.000   6.000   0.122   0.219   0.057
