  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  21.000   0.244   0.250   0.496
   0.025  21.000   0.239   0.254   0.499
   0.050  20.000   0.237   0.256   0.501
   0.075  21.000   0.236   0.256   0.501
   0.100  21.000   0.235   0.256   0.500
   0.125  21.000   0.234   0.255   0.498
   0.150  21.000   0.232   0.253   0.494
   0.175  21.000   0.228   0.248   0.485
   0.200  21.000   0.222   0.241   0.471
   0.225  21.000   0.213   0.232   0.453
   0.250  21.000   0.202   0.220   0.430
   0.275  21.000   0.191   0.207   0.405
   0.300  21.000   0.178   0.194   0.379
   0.325  19.000   0.167   0.180   0.353
   0.350  19.000   0.156   0.169   0.330
   0.375  20.000   0.147   0.158   0.310
   0.400  20.000   0.139   0.149   0.292
   0.425  20.000   0.131   0.141   0.276
   0.450  20.000   0.132   0.142   0.277
   0.475  20.000   0.132   0.142   0.278
   0.500  19.000   0.132   0.143   0.279
   0.525  19.000   0.132   0.143   0.280
   0.550  19.000   0.132   0.143   0.280
   0.575  19.000   0.133   0.143   0.280
   0.600  19.000   0.133   0.144   0.281
   0.625  19.000   0.133   0.144   0.281
   0.650  19.000   0.133   0.144   0.281
   0.675  19.000   0.133   0.144   0.282
   0.700  19.000   0.133   0.144   0.282
   0.725  19.000   0.133   0.144   0.282
   0.750  19.000   0.134   0.144   0.283
   0.775  19.000   0.134   0.145   0.283
   0.800  19.000   0.134   0.145   0.283
   0.825  19.000   0.134   0.145   0.283
   0.850  19.000   0.134   0.145   0.284
   0.875  19.000   0.134   0.145   0.284
   0.900  19.000   0.134   0.145   0.284
   0.925  19.000   0.134   0.145   0.285
   0.950  19.000   0.135   0.146   0.285
   0.975  19.000   0.135   0.146   0.285
   1.000  19.000   0.135   0.146   0.285
