  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  17.000   0.236   0.246   0.486
   0.025  21.000   0.236   0.252   0.495
   0.050  22.000   0.236   0.255   0.499
   0.075  23.000   0.236   0.255   0.500
   0.100  21.000   0.235   0.255   0.499
   0.125  21.000   0.234   0.254   0.497
   0.150  21.000   0.231   0.252   0.492
   0.175  21.000   0.227   0.248   0.483
   0.200  21.000   0.221   0.241   0.470
   0.225  21.000   0.213   0.232   0.452
   0.250  21.000   0.202   0.220   0.430
   0.275  21.000   0.191   0.207   0.404
   0.300  22.000   0.179   0.194   0.379
   0.325  20.000   0.167   0.181   0.354
   0.350  21.000   0.157   0.169   0.331
   0.375  21.000   0.148   0.158   0.310
   0.400  21.000   0.139   0.149   0.292
   0.425  21.000   0.132   0.141   0.276
   0.450  21.000   0.133   0.142   0.279
   0.475  21.000   0.133   0.143   0.280
   0.500  21.000   0.134   0.143   0.281
   0.525  21.000   0.134   0.144   0.282
   0.550  21.000   0.134   0.144   0.283
   0.575  21.000   0.134   0.145   0.283
   0.600  21.000   0.134   0.145   0.284
   0.625  21.000   0.135   0.145   0.284
   0.650  21.000   0.135   0.145   0.284
   0.675  21.000   0.135   0.145   0.285
   0.700  21.000   0.135   0.145   0.285
   0.725  21.000   0.135   0.145   0.285
   0.750  21.000   0.135   0.145   0.285
   0.775  21.000   0.135   0.145   0.285
   0.800  21.000   0.135   0.146   0.285
   0.825  21.000   0.135   0.146   0.285
   0.850  21.000   0.135   0.146   0.285
   0.875  21.000   0.135   0.146   0.285
   0.900  21.000   0.135   0.146   0.285
   0.925  21.000   0.135   0.146   0.285
   0.950  21.000   0.135   0.146   0.285
   0.975  21.000   0.135   0.146   0.285
   1.000  21.000   0.135   0.146   0.285
