  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   4.000   0.090   0.022   0.001
   0.025   4.000   0.070   0.015   0.001
   0.050   4.000   0.057   0.013   0.001
   0.075   4.000   0.053   0.015   0.001
   0.100   4.000   0.054   0.022   0.001
   0.125   4.000   0.060   0.037   0.001
   0.150   4.000   0.070   0.060   0.002
   0.175   4.000   0.084   0.093   0.003
   0.200   4.000   0.101   0.132   0.004
   0.225   4.000   0.120   0.173   0.005
   0.250   3.000   0.138   0.212   0.007
   0.275   3.000   0.154   0.248   0.009
   0.300   3.000   0.168   0.281   0.011
   0.325   3.000   0.179   0.309   0.014
   0.350   3.000   0.188   0.333   0.017
   0.375   3.000   0.195   0.352   0.020
   0.400   3.000   0.198   0.363   0.024
   0.425   5.000   0.199   0.368   0.028
   0.450   5.000   0.199   0.368   0.032
   0.475   5.000   0.197   0.366   0.036
   0.500   5.000   0.195   0.361   0.039
   0.525   5.000   0.190   0.353   0.043
   0.550   5.000   0.185   0.344   0.046
   0.575   5.000   0.180   0.336   0.049
   0.600   5.000   0.175   0.328   0.052
   0.625   6.000   0.170   0.319   0.055
   0.650   6.000   0.165   0.311   0.058
   0.675   6.000   0.161   0.302   0.061
   0.700   6.000   0.157   0.294   0.063
   0.725   6.000   0.153   0.286   0.065
   0.750   6.000   0.149   0.279   0.067
   0.775   6.000   0.145   0.271   0.068
   0.800   6.000   0.142   0.265   0.069
   0.825   6.000   0.140   0.259   0.070
   0.850   6.000   0.139   0.253   0.071
   0.875   6.000   0.138   0.245   0.070
   0.900   6.000   0.136   0.236   0.068
   0.925   6.000   0.132   0.227   0.065
   0.950   6.000   0.127   0.220   0.063
   0.975   6.000   0.123   0.216   0.062
   1.000   6.000   0.119   0.214   0.062
