TEXTURE AT STRAIN =    0.3500
   1.036   1.052   0.917  <-- length of phase ellipsoid axes
  111.05   12.17 -103.96  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
  100.74  137.19 -107.06   0.0016500
