  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   4.000   0.118   0.011   0.000
   0.025   3.000   0.101   0.009   0.000
   0.050   4.000   0.090   0.009   0.000
   0.075   4.000   0.086   0.011   0.000
   0.100   4.000   0.087   0.016   0.000
   0.125   4.000   0.092   0.028   0.001
   0.150   4.000   0.101   0.049   0.001
   0.175   4.000   0.115   0.080   0.002
   0.200   4.000   0.131   0.118   0.003
   0.225   4.000   0.148   0.156   0.003
   0.250   4.000   0.165   0.193   0.004
   0.275   4.000   0.181   0.227   0.004
   0.300   4.000   0.196   0.257   0.005
   0.325   4.000   0.208   0.284   0.005
   0.350   4.000   0.219   0.307   0.005
   0.375   4.000   0.228   0.328   0.004
   0.400   4.000   0.235   0.346   0.004
   0.425   4.000   0.241   0.363   0.004
   0.450   4.000   0.246   0.378   0.004
   0.475   4.000   0.249   0.392   0.005
   0.500   4.000   0.251   0.405   0.005
   0.525   4.000   0.247   0.407   0.006
   0.550   4.000   0.242   0.408   0.007
   0.575   4.000   0.237   0.408   0.008
   0.600   4.000   0.232   0.407   0.009
   0.625   4.000   0.226   0.405   0.011
   0.650   3.000   0.220   0.402   0.013
   0.675   3.000   0.214   0.398   0.014
   0.700   3.000   0.209   0.393   0.016
   0.725   3.000   0.203   0.388   0.018
   0.750   3.000   0.198   0.382   0.021
   0.775   3.000   0.193   0.376   0.023
   0.800   3.000   0.188   0.370   0.025
   0.825   3.000   0.184   0.364   0.027
   0.850   3.000   0.180   0.357   0.029
   0.875   4.000   0.175   0.350   0.032
   0.900   4.000   0.171   0.343   0.034
   0.925   4.000   0.167   0.336   0.036
   0.950   4.000   0.164   0.330   0.038
   0.975   4.000   0.160   0.323   0.040
   1.000   5.000   0.156   0.316   0.042
