  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.148   0.000   0.000
   0.025   2.000   0.142   0.000   0.000
   0.050   2.000   0.143   0.000   0.000
   0.075   2.000   0.149   0.000   0.000
   0.100   2.000   0.157   0.000   0.000
   0.125   2.000   0.163   0.000   0.001
   0.150   2.000   0.170   0.000   0.001
   0.175   2.000   0.179   0.000   0.002
   0.200   2.000   0.190   0.000   0.006
   0.225   2.000   0.203   0.000   0.014
   0.250   2.000   0.217   0.000   0.030
   0.275   4.000   0.232   0.000   0.054
   0.300   4.000   0.246   0.000   0.081
   0.325   5.000   0.260   0.000   0.109
   0.350   5.000   0.272   0.000   0.135
   0.375   5.000   0.284   0.000   0.158
   0.400   6.000   0.294   0.000   0.179
   0.425   6.000   0.303   0.000   0.197
   0.450   7.000   0.311   0.000   0.213
   0.475   7.000   0.318   0.000   0.227
   0.500   7.000   0.324   0.000   0.239
   0.525   6.000   0.330   0.000   0.250
   0.550   7.000   0.336   0.000   0.259
   0.575   7.000   0.336   0.000   0.259
   0.600   8.000   0.337   0.000   0.259
   0.625   8.000   0.338   0.000   0.258
   0.650   8.000   0.340   0.000   0.258
   0.675   8.000   0.341   0.000   0.257
   0.700   8.000   0.342   0.000   0.256
   0.725   8.000   0.343   0.000   0.255
   0.750   8.000   0.344   0.000   0.254
   0.775   8.000   0.345   0.000   0.252
   0.800   8.000   0.346   0.000   0.251
   0.825   8.000   0.347   0.000   0.250
   0.850   8.000   0.347   0.000   0.249
   0.875   8.000   0.348   0.000   0.248
   0.900  10.000   0.348   0.000   0.247
   0.925  10.000   0.349   0.000   0.246
   0.950  10.000   0.349   0.000   0.246
   0.975  10.000   0.350   0.000   0.245
   1.000  10.000   0.350   0.000   0.244
