  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.243   0.254   0.501
   0.025  24.000   0.246   0.252   0.500
   0.050  21.000   0.246   0.251   0.499
   0.075  21.000   0.241   0.254   0.500
   0.100  20.000   0.238   0.256   0.501
   0.125  21.000   0.236   0.256   0.500
   0.150  21.000   0.233   0.254   0.496
   0.175  21.000   0.228   0.249   0.486
   0.200  21.000   0.220   0.240   0.468
   0.225  21.000   0.209   0.228   0.445
   0.250  21.000   0.197   0.215   0.420
   0.275  21.000   0.186   0.203   0.396
   0.300  21.000   0.176   0.191   0.374
   0.325  21.000   0.166   0.181   0.353
   0.350  21.000   0.157   0.171   0.334
   0.375  21.000   0.149   0.162   0.317
   0.400  21.000   0.142   0.154   0.301
   0.425  21.000   0.135   0.147   0.288
   0.450  21.000   0.136   0.148   0.289
   0.475  21.000   0.136   0.148   0.290
   0.500  21.000   0.137   0.149   0.290
   0.525  21.000   0.137   0.149   0.291
   0.550  21.000   0.137   0.149   0.292
   0.575  21.000   0.138   0.150   0.292
   0.600  21.000   0.138   0.150   0.293
   0.625  21.000   0.138   0.150   0.293
   0.650  21.000   0.138   0.150   0.293
   0.675  21.000   0.138   0.150   0.294
   0.700  21.000   0.138   0.150   0.294
   0.725  21.000   0.139   0.150   0.294
   0.750  21.000   0.139   0.150   0.294
   0.775  21.000   0.139   0.150   0.294
   0.800  21.000   0.139   0.151   0.294
   0.825  21.000   0.139   0.151   0.294
   0.850  21.000   0.139   0.151   0.294
   0.875  20.000   0.139   0.151   0.295
   0.900  20.000   0.139   0.151   0.295
   0.925  19.000   0.139   0.151   0.295
   0.950  19.000   0.139   0.151   0.295
   0.975  19.000   0.139   0.151   0.295
   1.000  19.000   0.139   0.151   0.295
