  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.219   0.208   0.422
   0.025  28.000   0.223   0.210   0.428
   0.050  28.000   0.224   0.211   0.430
   0.075  29.000   0.223   0.211   0.429
   0.100  28.000   0.220   0.209   0.424
   0.125  27.000   0.214   0.205   0.415
   0.150  25.000   0.204   0.198   0.400
   0.175  25.000   0.185   0.185   0.371
   0.200  25.000   0.165   0.167   0.333
   0.225  25.000   0.154   0.157   0.312
   0.250  25.000   0.145   0.149   0.296
   0.275  26.000   0.135   0.141   0.278
   0.300  26.000   0.125   0.132   0.261
   0.325  26.000   0.117   0.124   0.244
   0.350  26.000   0.109   0.116   0.229
   0.375  28.000   0.102   0.110   0.215
   0.400  26.000   0.097   0.104   0.203
   0.425  27.000   0.092   0.098   0.193
   0.450  27.000   0.087   0.093   0.183
   0.475  27.000   0.083   0.089   0.175
   0.500  27.000   0.080   0.086   0.168
   0.525  27.000   0.077   0.082   0.161
   0.550  27.000   0.075   0.079   0.156
   0.575  26.000   0.075   0.079   0.156
   0.600  26.000   0.075   0.080   0.156
   0.625  26.000   0.075   0.080   0.157
   0.650  26.000   0.075   0.080   0.157
   0.675  26.000   0.076   0.080   0.158
   0.700  26.000   0.076   0.080   0.158
   0.725  26.000   0.076   0.080   0.158
   0.750  26.000   0.076   0.081   0.159
   0.775  26.000   0.076   0.081   0.159
   0.800  26.000   0.077   0.081   0.159
   0.825  26.000   0.077   0.081   0.160
   0.850  26.000   0.077   0.082   0.161
   0.875  26.000   0.078   0.082   0.161
   0.900  26.000   0.078   0.082   0.162
   0.925  26.000   0.078   0.083   0.163
   0.950  26.000   0.079   0.083   0.164
   0.975  26.000   0.079   0.084   0.165
   1.000  26.000   0.079   0.085   0.166
