TEXTURE AT STRAIN =    0.5500
   1.914   3.241   0.141  <-- length of phase ellipsoid axes
  151.28    1.81  164.56  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
  153.64    1.34 -153.32   0.0003500
