  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.150   0.002   0.000
   0.025   2.000   0.137   0.002   0.000
   0.050   2.000   0.130   0.002   0.000
   0.075   2.000   0.128   0.003   0.001
   0.100   2.000   0.130   0.006   0.001
   0.125   3.000   0.133   0.012   0.002
   0.150   4.000   0.138   0.024   0.005
   0.175   4.000   0.144   0.043   0.009
   0.200   4.000   0.151   0.068   0.014
   0.225   6.000   0.160   0.095   0.019
   0.250   6.000   0.170   0.122   0.024
   0.275   6.000   0.181   0.148   0.028
   0.300   6.000   0.193   0.171   0.030
   0.325   6.000   0.200   0.188   0.031
   0.350   6.000   0.201   0.200   0.030
   0.375   5.000   0.198   0.212   0.029
   0.400   5.000   0.198   0.224   0.029
   0.425   5.000   0.199   0.237   0.028
   0.450   5.000   0.202   0.251   0.027
   0.475   4.000   0.206   0.266   0.025
   0.500   4.000   0.211   0.279   0.024
   0.525   4.000   0.209   0.281   0.021
   0.550   4.000   0.207   0.283   0.019
   0.575   4.000   0.205   0.285   0.017
   0.600   4.000   0.204   0.286   0.015
   0.625   4.000   0.202   0.288   0.013
   0.650   4.000   0.201   0.288   0.011
   0.675   4.000   0.199   0.289   0.010
   0.700   4.000   0.198   0.289   0.008
   0.725   4.000   0.196   0.289   0.007
   0.750   4.000   0.195   0.289   0.006
   0.775   4.000   0.193   0.288   0.005
   0.800   4.000   0.191   0.288   0.005
   0.825   4.000   0.189   0.287   0.004
   0.850   4.000   0.187   0.286   0.004
   0.875   4.000   0.185   0.285   0.004
   0.900   4.000   0.183   0.283   0.003
   0.925   4.000   0.181   0.282   0.003
   0.950   4.000   0.179   0.280   0.003
   0.975   4.000   0.177   0.279   0.003
   1.000   4.000   0.175   0.277   0.003
