  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.318   0.000   0.001
   0.025   1.000   0.298   0.000   0.001
   0.050   1.000   0.285   0.000   0.001
   0.075   1.000   0.277   0.000   0.001
   0.100   1.000   0.275   0.000   0.002
   0.125   1.000   0.276   0.000   0.003
   0.150   2.000   0.281   0.000   0.007
   0.175   2.000   0.289   0.000   0.015
   0.200   2.000   0.297   0.000   0.031
   0.225   2.000   0.306   0.000   0.055
   0.250   2.000   0.315   0.000   0.084
   0.275   4.000   0.324   0.000   0.114
   0.300   6.000   0.333   0.000   0.143
   0.325   8.000   0.342   0.000   0.169
   0.350   8.000   0.350   0.000   0.192
   0.375   8.000   0.358   0.000   0.212
   0.400   8.000   0.366   0.000   0.229
   0.425   9.000   0.373   0.000   0.243
   0.450   9.000   0.380   0.000   0.256
   0.475  10.000   0.386   0.000   0.267
   0.500  11.000   0.392   0.000   0.276
   0.525  12.000   0.397   0.000   0.284
   0.550  12.000   0.402   0.000   0.291
   0.575  13.000   0.406   0.000   0.298
   0.600  13.000   0.410   0.000   0.303
   0.625  13.000   0.410   0.000   0.303
   0.650  13.000   0.411   0.000   0.302
   0.675  13.000   0.411   0.000   0.302
   0.700  13.000   0.411   0.000   0.302
   0.725  13.000   0.411   0.000   0.302
   0.750  13.000   0.411   0.000   0.302
   0.775  13.000   0.412   0.000   0.302
   0.800  13.000   0.412   0.000   0.302
   0.825  13.000   0.412   0.000   0.302
   0.850  13.000   0.412   0.000   0.302
   0.875  13.000   0.412   0.000   0.302
   0.900  13.000   0.412   0.000   0.302
   0.925  14.000   0.412   0.000   0.302
   0.950  14.000   0.412   0.000   0.302
   0.975  14.000   0.412   0.000   0.302
   1.000  14.000   0.412   0.000   0.302
