  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  23.000   0.233   0.232   0.465
   0.025  22.000   0.236   0.233   0.469
   0.050  21.000   0.237   0.233   0.469
   0.075  21.000   0.235   0.233   0.467
   0.100  27.000   0.230   0.233   0.465
   0.125  26.000   0.223   0.233   0.460
   0.150  26.000   0.215   0.228   0.448
   0.175  27.000   0.204   0.219   0.429
   0.200  28.000   0.192   0.206   0.404
   0.225  29.000   0.178   0.191   0.375
   0.250  29.000   0.164   0.175   0.344
   0.275  28.000   0.151   0.159   0.314
   0.300  26.000   0.139   0.144   0.285
   0.325  28.000   0.130   0.132   0.262
   0.350  27.000   0.123   0.124   0.247
   0.375  26.000   0.118   0.119   0.237
   0.400  25.000   0.115   0.116   0.232
   0.425  25.000   0.114   0.114   0.229
   0.450  25.000   0.114   0.113   0.227
   0.475  26.000   0.115   0.112   0.226
   0.500  27.000   0.117   0.114   0.229
   0.525  27.000   0.119   0.115   0.233
   0.550  28.000   0.122   0.116   0.236
   0.575  29.000   0.124   0.118   0.240
   0.600  29.000   0.126   0.120   0.243
   0.625  29.000   0.128   0.121   0.247
   0.650  28.000   0.130   0.124   0.251
   0.675  28.000   0.131   0.126   0.255
   0.700  26.000   0.132   0.128   0.259
   0.725  25.000   0.133   0.131   0.263
   0.750  27.000   0.134   0.133   0.266
   0.775  25.000   0.134   0.135   0.269
   0.800  23.000   0.135   0.136   0.272
   0.825  21.000   0.138   0.139   0.278
   0.850  21.000   0.142   0.143   0.285
   0.875  22.000   0.144   0.148   0.293
   0.900  21.000   0.145   0.151   0.299
   0.925  21.000   0.145   0.154   0.303
   0.950  21.000   0.145   0.155   0.304
   0.975  22.000   0.144   0.155   0.304
   1.000  21.000   0.144   0.155   0.304
