          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.14049E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.34414E+02  0.55758E+02 -0.90172E+02 -0.94038E+00  0.95023E+00  0.19101E+02      982.00
  0.24070E-01  0.14025E+03    0.12500E-01  0.12500E-01 -0.25000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.33375E+02  0.56139E+02 -0.89515E+02 -0.17020E+01  0.38087E+00  0.20347E+02      982.00
  0.48005E-01  0.14330E+03    0.25000E-01  0.25000E-01 -0.50000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.32623E+02  0.58037E+02 -0.90660E+02 -0.21008E+01  0.99028E-01  0.22689E+02      982.00
  0.71729E-01  0.15074E+03    0.37500E-01  0.37500E-01 -0.75000E-01  0.00000E+00  0.00000E+00  0.00000E+00    0.32112E+02  0.61961E+02 -0.94073E+02 -0.21557E+01  0.89337E-01  0.26641E+02      982.00
  0.95132E-01  0.16396E+03    0.50000E-01  0.50000E-01 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.31725E+02  0.68529E+02 -0.10025E+03 -0.18497E+01  0.35278E+00  0.32880E+02      982.00
  0.11806E+00  0.18545E+03    0.62500E-01  0.62500E-01 -0.12500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.31255E+02  0.78804E+02 -0.11006E+03 -0.11498E+01  0.89292E+00  0.42562E+02      982.00
  0.14032E+00  0.21854E+03    0.75000E-01  0.75000E-01 -0.15000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.30438E+02  0.94129E+02 -0.12457E+03  0.12669E-02  0.17265E+01  0.57137E+02      982.00
  0.16169E+00  0.26561E+03    0.87500E-01  0.87500E-01 -0.17500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.29044E+02  0.11534E+03 -0.14439E+03  0.15856E+01  0.28271E+01  0.77512E+02      982.00
  0.18208E+00  0.32130E+03    0.10000E+00  0.10000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.27220E+02  0.13997E+03 -0.16719E+03  0.33647E+01  0.40700E+01  0.10120E+03      982.00
  0.20159E+00  0.37352E+03    0.11250E+00  0.11250E+00 -0.22500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.25336E+02  0.16290E+03 -0.18824E+03  0.47789E+01  0.51049E+01  0.12309E+03      982.00
  0.22049E+00  0.41389E+03    0.12500E+00  0.12500E+00 -0.25000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.23812E+02  0.18064E+03 -0.20445E+03  0.57212E+01  0.58797E+01  0.13976E+03      982.00
  0.23901E+00  0.44331E+03    0.13750E+00  0.13750E+00 -0.27500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.22653E+02  0.19362E+03 -0.21627E+03  0.63293E+01  0.64623E+01  0.15179E+03      982.00
  0.25731E+00  0.46491E+03    0.15000E+00  0.15000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.21739E+02  0.20318E+03 -0.22492E+03  0.67410E+01  0.69224E+01  0.16056E+03      982.00
  0.27545E+00  0.48114E+03    0.16250E+00  0.16250E+00 -0.32500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20962E+02  0.21040E+03 -0.23137E+03  0.70390E+01  0.73026E+01  0.16716E+03      982.00
  0.29348E+00  0.49371E+03    0.17500E+00  0.17500E+00 -0.35000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.20245E+02  0.21603E+03 -0.23627E+03  0.72718E+01  0.76269E+01  0.17231E+03      982.00
  0.31143E+00  0.50411E+03    0.18750E+00  0.18750E+00 -0.37500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.19437E+02  0.22073E+03 -0.24017E+03  0.73923E+01  0.78304E+01  0.17664E+03      982.00
  0.32929E+00  0.51263E+03    0.20000E+00  0.20000E+00 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.18686E+02  0.22459E+03 -0.24328E+03  0.75671E+01  0.80712E+01  0.18024E+03      982.00
  0.34709E+00  0.51949E+03    0.21250E+00  0.21250E+00 -0.42500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17950E+02  0.22773E+03 -0.24568E+03  0.77640E+01  0.83083E+01  0.18319E+03      982.00
  0.36482E+00  0.52535E+03    0.22500E+00  0.22500E+00 -0.45000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.17169E+02  0.23044E+03 -0.24761E+03  0.79762E+01  0.85406E+01  0.18576E+03      982.00
  0.38250E+00  0.53031E+03    0.23750E+00  0.23750E+00 -0.47500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.16312E+02  0.23280E+03 -0.24912E+03  0.82082E+01  0.87154E+01  0.18798E+03      982.00
  0.40012E+00  0.53467E+03    0.25000E+00  0.25000E+00 -0.50000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.15422E+02  0.23491E+03 -0.25033E+03  0.84975E+01  0.88872E+01  0.18998E+03      982.00
  0.41767E+00  0.53873E+03    0.26250E+00  0.26250E+00 -0.52500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.14459E+02  0.23690E+03 -0.25136E+03  0.88130E+01  0.89816E+01  0.19191E+03      982.00
  0.43517E+00  0.54228E+03    0.27500E+00  0.27500E+00 -0.55000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.13284E+02  0.23885E+03 -0.25213E+03  0.91432E+01  0.90001E+01  0.19354E+03      982.00
  0.45261E+00  0.54410E+03    0.28750E+00  0.28750E+00 -0.57500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.12024E+02  0.24010E+03 -0.25212E+03  0.94130E+01  0.88750E+01  0.19451E+03      982.00
  0.46998E+00  0.54579E+03    0.30000E+00  0.30000E+00 -0.60000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.10670E+02  0.24139E+03 -0.25206E+03  0.97565E+01  0.86863E+01  0.19536E+03      982.00
  0.48730E+00  0.54725E+03    0.31250E+00  0.31250E+00 -0.62500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.91940E+01  0.24271E+03 -0.25191E+03  0.10170E+02  0.84344E+01  0.19603E+03      982.00
  0.50456E+00  0.54850E+03    0.32500E+00  0.32500E+00 -0.65000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.76979E+01  0.24398E+03 -0.25168E+03  0.10629E+02  0.81147E+01  0.19657E+03      982.00
  0.52177E+00  0.54950E+03    0.33750E+00  0.33750E+00 -0.67500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.62027E+01  0.24518E+03 -0.25138E+03  0.11103E+02  0.77421E+01  0.19697E+03      982.00
  0.53892E+00  0.55025E+03    0.35000E+00  0.35000E+00 -0.70000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.47714E+01  0.24623E+03 -0.25100E+03  0.11547E+02  0.73406E+01  0.19726E+03      982.00
  0.55603E+00  0.55076E+03    0.36250E+00  0.36250E+00 -0.72500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.35416E+01  0.24702E+03 -0.25056E+03  0.11925E+02  0.69319E+01  0.19753E+03      982.00
  0.57309E+00  0.55114E+03    0.37500E+00  0.37500E+00 -0.75000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.25117E+01  0.24758E+03 -0.25010E+03  0.12206E+02  0.65428E+01  0.19783E+03      982.00
  0.59011E+00  0.55148E+03    0.38750E+00  0.38750E+00 -0.77500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.16786E+01  0.24796E+03 -0.24964E+03  0.12381E+02  0.61831E+01  0.19819E+03      982.00
  0.60708E+00  0.55184E+03    0.40000E+00  0.40000E+00 -0.80000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.97497E+00  0.24826E+03 -0.24923E+03  0.12452E+02  0.58595E+01  0.19861E+03      982.00
  0.62402E+00  0.55213E+03    0.41250E+00  0.41250E+00 -0.82500E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.41130E+00  0.24841E+03 -0.24882E+03  0.12393E+02  0.55092E+01  0.19905E+03      982.00
  0.64092E+00  0.55255E+03    0.42500E+00  0.42500E+00 -0.85000E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.52898E-01  0.24851E+03 -0.24846E+03  0.12239E+02  0.51293E+01  0.19962E+03      982.00
  0.65778E+00  0.55304E+03    0.43750E+00  0.43750E+00 -0.87500E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.42613E+00  0.24862E+03 -0.24819E+03  0.12146E+02  0.49671E+01  0.20018E+03      982.00
  0.67461E+00  0.55352E+03    0.45000E+00  0.45000E+00 -0.90000E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.77209E+00  0.24870E+03 -0.24793E+03  0.11943E+02  0.47372E+01  0.20075E+03      982.00
  0.69141E+00  0.55402E+03    0.46250E+00  0.46250E+00 -0.92500E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.10935E+01  0.24879E+03 -0.24769E+03  0.11698E+02  0.45302E+01  0.20132E+03      982.00
  0.70817E+00  0.55453E+03    0.47500E+00  0.47500E+00 -0.95000E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.13895E+01  0.24888E+03 -0.24749E+03  0.11423E+02  0.43450E+01  0.20188E+03      982.00
  0.72491E+00  0.55504E+03    0.48750E+00  0.48750E+00 -0.97500E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.16599E+01  0.24897E+03 -0.24731E+03  0.11127E+02  0.41794E+01  0.20242E+03      982.00
  0.74162E+00  0.55555E+03    0.50000E+00  0.50000E+00 -0.10000E+01  0.00000E+00  0.00000E+00  0.00000E+00   -0.19053E+01  0.24906E+03 -0.24716E+03  0.10816E+02  0.40311E+01  0.20294E+03      982.00
