
*******   STEP   1      *** NEFF=10 CALCULATION                
   21   0.328E-03   0.173E-02   0.122E-02
   22   0.246E-03   0.129E-02   0.821E-03
   23   0.171E-03   0.910E-03   0.496E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.228E-01   0.116E+00   0.108E+00
    2   0.257E-01   0.143E+00   0.126E+00
    3   0.207E-01   0.119E+00   0.981E-01
    4   0.130E-01   0.776E-01   0.592E-01
    5   0.658E-02   0.431E-01   0.284E-01
    6   0.290E-02   0.229E-01   0.116E-01
    7   0.181E-02   0.147E-01   0.734E-02
    8   0.139E-02   0.109E-01   0.586E-02
    9   0.109E-02   0.818E-02   0.444E-02
   10   0.799E-03   0.621E-02   0.308E-02
   11   0.602E-03   0.521E-02   0.263E-02
   12   0.605E-03   0.508E-02   0.314E-02
   13   0.633E-03   0.470E-02   0.309E-02
   14   0.621E-03   0.449E-02   0.321E-02
   15   0.624E-03   0.422E-02   0.314E-02
   16   0.605E-03   0.389E-02   0.295E-02
   17   0.565E-03   0.345E-02   0.261E-02
   18   0.502E-03   0.294E-02   0.218E-02
   19   0.422E-03   0.239E-02   0.170E-02
   20   0.334E-03   0.183E-02   0.122E-02
   21   0.246E-03   0.132E-02   0.796E-03
   22   0.166E-03   0.906E-03   0.463E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.245E-01   0.136E+00   0.122E+00
    2   0.266E-01   0.161E+00   0.136E+00
    3   0.205E-01   0.126E+00   0.100E+00
    4   0.120E-01   0.770E-01   0.567E-01
    5   0.573E-02   0.399E-01   0.254E-01
    6   0.256E-02   0.203E-01   0.102E-01
    7   0.148E-02   0.123E-01   0.614E-02
    8   0.111E-02   0.887E-02   0.474E-02
    9   0.838E-03   0.643E-02   0.339E-02
   10   0.592E-03   0.485E-02   0.234E-02
   11   0.471E-03   0.427E-02   0.230E-02
   12   0.515E-03   0.431E-02   0.281E-02
   13   0.540E-03   0.396E-02   0.266E-02
   14   0.516E-03   0.367E-02   0.262E-02
   15   0.495E-03   0.329E-02   0.239E-02
   16   0.452E-03   0.286E-02   0.208E-02
   17   0.394E-03   0.237E-02   0.169E-02
   18   0.323E-03   0.185E-02   0.127E-02
   19   0.247E-03   0.135E-02   0.860E-03
   20   0.172E-03   0.911E-03   0.507E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.238E-01   0.142E+00   0.122E+00
    2   0.244E-01   0.158E+00   0.128E+00
    3   0.177E-01   0.115E+00   0.886E-01
    4   0.981E-02   0.659E-01   0.474E-01
    5   0.438E-02   0.316E-01   0.201E-01
    6   0.182E-02   0.146E-01   0.748E-02
    7   0.105E-02   0.848E-02   0.410E-02
    8   0.710E-03   0.570E-02   0.301E-02
    9   0.511E-03   0.394E-02   0.211E-02
   10   0.351E-03   0.282E-02   0.136E-02
   11   0.294E-03   0.221E-02   0.104E-02
   12   0.226E-03   0.190E-02   0.109E-02
   13   0.214E-03   0.188E-02   0.134E-02
   14   0.242E-03   0.199E-02   0.155E-02
   15   0.273E-03   0.200E-02   0.158E-02
   16   0.280E-03   0.187E-02   0.145E-02
   17   0.261E-03   0.159E-02   0.120E-02
   18   0.219E-03   0.122E-02   0.874E-03
   19   0.164E-03   0.834E-03   0.542E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.213E-01   0.135E+00   0.111E+00
    2   0.210E-01   0.142E+00   0.111E+00
    3   0.145E-01   0.985E-01   0.734E-01
    4   0.786E-02   0.536E-01   0.381E-01
    5   0.338E-02   0.241E-01   0.156E-01
    6   0.133E-02   0.989E-02   0.529E-02
    7   0.592E-03   0.474E-02   0.238E-02
    8   0.384E-03   0.310E-02   0.194E-02
    9   0.311E-03   0.221E-02   0.146E-02
   10   0.265E-03   0.159E-02   0.963E-03
   11   0.184E-03   0.102E-02   0.505E-03
   12   0.105E-03   0.757E-03   0.479E-03

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.185E-01   0.121E+00   0.975E-01
    2   0.178E-01   0.125E+00   0.944E-01
    3   0.118E-01   0.826E-01   0.601E-01
    4   0.618E-02   0.433E-01   0.306E-01
    5   0.289E-02   0.197E-01   0.131E-01
    6   0.101E-02   0.730E-02   0.434E-02
    7   0.391E-03   0.291E-02   0.148E-02
    8   0.203E-03   0.177E-02   0.112E-02
    9   0.185E-03   0.137E-02   0.772E-03
   10   0.149E-03   0.109E-02   0.646E-03
   11   0.118E-03   0.752E-03   0.363E-03

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.157E-01   0.103E+00   0.821E-01
    2   0.147E-01   0.106E+00   0.778E-01
    3   0.971E-02   0.687E-01   0.487E-01
    4   0.516E-02   0.359E-01   0.249E-01
    5   0.230E-02   0.159E-01   0.108E-01
    6   0.105E-02   0.659E-02   0.422E-02
    7   0.530E-03   0.268E-02   0.162E-02
    8   0.155E-03   0.132E-02   0.963E-03
    9   0.138E-03   0.113E-02   0.683E-03
   10   0.125E-03   0.108E-02   0.711E-03
   11   0.122E-03   0.813E-03   0.444E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.132E-01   0.848E-01   0.695E-01
    2   0.125E-01   0.914E-01   0.657E-01
    3   0.807E-02   0.581E-01   0.403E-01
    4   0.433E-02   0.307E-01   0.212E-01
    5   0.210E-02   0.148E-01   0.102E-01
    6   0.110E-02   0.717E-02   0.487E-02
    7   0.639E-03   0.364E-02   0.244E-02
    8   0.282E-03   0.171E-02   0.115E-02
    9   0.203E-03   0.961E-03   0.439E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.115E-01   0.698E-01   0.603E-01
    2   0.110E-01   0.805E-01   0.567E-01
