  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.237   0.000   0.000
   0.025   2.000   0.237   0.000   0.001
   0.050   2.000   0.216   0.000   0.001
   0.075   2.000   0.195   0.000   0.001
   0.100   2.000   0.180   0.000   0.001
   0.125   2.000   0.172   0.000   0.001
   0.150   2.000   0.170   0.000   0.002
   0.175   2.000   0.173   0.000   0.004
   0.200   2.000   0.180   0.000   0.009
   0.225   4.000   0.190   0.001   0.018
   0.250   4.000   0.202   0.002   0.034
   0.275   4.000   0.216   0.003   0.057
   0.300   4.000   0.231   0.003   0.081
   0.325   6.000   0.246   0.004   0.106
   0.350   8.000   0.261   0.004   0.129
   0.375   8.000   0.275   0.005   0.150
   0.400   8.000   0.287   0.004   0.169
   0.425   8.000   0.298   0.004   0.185
   0.450   8.000   0.309   0.004   0.200
   0.475   8.000   0.318   0.003   0.213
   0.500   8.000   0.326   0.003   0.225
   0.525   8.000   0.333   0.002   0.235
   0.550   8.000   0.333   0.002   0.236
   0.575   8.000   0.334   0.002   0.237
   0.600   9.000   0.334   0.001   0.237
   0.625   9.000   0.334   0.001   0.238
   0.650   9.000   0.333   0.001   0.239
   0.675   9.000   0.333   0.001   0.240
   0.700   9.000   0.333   0.000   0.241
   0.725   8.000   0.333   0.000   0.241
   0.750   9.000   0.332   0.000   0.242
   0.775   9.000   0.332   0.000   0.243
   0.800   9.000   0.332   0.000   0.244
   0.825   9.000   0.332   0.000   0.245
   0.850   9.000   0.332   0.000   0.246
   0.875   9.000   0.332   0.000   0.247
   0.900   7.000   0.333   0.000   0.248
   0.925   7.000   0.334   0.000   0.248
   0.950   7.000   0.334   0.000   0.249
   0.975   7.000   0.336   0.000   0.249
   1.000   8.000   0.337   0.000   0.249
