TEXTURE AT STRAIN =    0.5500
   2.097   3.254   0.126  <-- length of phase ellipsoid axes
  -58.22    1.43 -170.15  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
  125.80   48.78 -135.89   0.0003500
