  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   3.000   0.014   0.010   0.001
   0.025   3.000   0.011   0.008   0.001
   0.050   3.000   0.010   0.007   0.001
   0.075   3.000   0.009   0.007   0.001
   0.100   3.000   0.010   0.009   0.001
   0.125   3.000   0.012   0.012   0.001
   0.150   3.000   0.017   0.019   0.002
   0.175   3.000   0.023   0.030   0.003
   0.200   3.000   0.032   0.046   0.006
   0.225   3.000   0.043   0.068   0.008
   0.250   3.000   0.057   0.093   0.012
   0.275   5.000   0.072   0.120   0.017
   0.300   5.000   0.087   0.147   0.023
   0.325   5.000   0.101   0.172   0.029
   0.350   5.000   0.113   0.194   0.037
   0.375   5.000   0.123   0.213   0.045
   0.400   5.000   0.131   0.229   0.054
   0.425   5.000   0.138   0.241   0.063
   0.450   5.000   0.134   0.235   0.068
   0.475   5.000   0.131   0.230   0.072
   0.500   5.000   0.128   0.225   0.077
   0.525   5.000   0.125   0.221   0.081
   0.550   5.000   0.122   0.217   0.086
   0.575   6.000   0.120   0.214   0.090
   0.600   6.000   0.118   0.211   0.093
   0.625   6.000   0.116   0.208   0.097
   0.650   6.000   0.114   0.205   0.100
   0.675   7.000   0.112   0.203   0.103
   0.700   7.000   0.111   0.201   0.106
   0.725   7.000   0.109   0.199   0.108
   0.750   7.000   0.108   0.198   0.110
   0.775   7.000   0.107   0.197   0.112
   0.800   7.000   0.106   0.195   0.114
   0.825   7.000   0.106   0.194   0.115
   0.850   7.000   0.105   0.194   0.116
   0.875   8.000   0.105   0.193   0.117
   0.900   8.000   0.104   0.192   0.117
   0.925   8.000   0.104   0.192   0.117
   0.950   8.000   0.104   0.192   0.118
   0.975   8.000   0.104   0.191   0.118
   1.000   8.000   0.104   0.191   0.117
