  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  19.000   0.188   0.181   0.367
   0.025  20.000   0.182   0.179   0.360
   0.050  19.000   0.179   0.179   0.357
   0.075  15.000   0.173   0.175   0.348
   0.100  14.000   0.175   0.181   0.359
   0.125  18.000   0.179   0.190   0.373
   0.150  20.000   0.183   0.196   0.385
   0.175  21.000   0.186   0.199   0.391
   0.200  22.000   0.186   0.200   0.392
   0.225  22.000   0.184   0.197   0.387
   0.250  23.000   0.179   0.192   0.376
   0.275  22.000   0.172   0.184   0.361
   0.300  22.000   0.164   0.175   0.344
   0.325  23.000   0.155   0.166   0.325
   0.350  23.000   0.146   0.157   0.308
   0.375  23.000   0.138   0.148   0.291
   0.400  23.000   0.131   0.140   0.275
   0.425  23.000   0.124   0.133   0.261
   0.450  23.000   0.118   0.127   0.249
   0.475  23.000   0.113   0.121   0.238
   0.500  23.000   0.108   0.116   0.228
   0.525  22.000   0.104   0.112   0.219
   0.550  21.000   0.100   0.108   0.212
   0.575  21.000   0.101   0.108   0.212
   0.600  21.000   0.101   0.108   0.211
   0.625  21.000   0.101   0.108   0.211
   0.650  21.000   0.100   0.108   0.211
   0.675  21.000   0.100   0.107   0.211
   0.700  22.000   0.100   0.107   0.210
   0.725  22.000   0.100   0.107   0.210
   0.750  23.000   0.099   0.107   0.209
   0.775  23.000   0.099   0.106   0.209
   0.800  23.000   0.099   0.106   0.208
   0.825  23.000   0.098   0.106   0.207
   0.850  23.000   0.098   0.106   0.207
   0.875  23.000   0.098   0.105   0.207
   0.900  23.000   0.098   0.105   0.206
   0.925  23.000   0.097   0.105   0.206
   0.950  23.000   0.097   0.105   0.206
   0.975  23.000   0.097   0.105   0.206
   1.000  23.000   0.097   0.105   0.205
