  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.171   0.170   0.341
   0.025  21.000   0.176   0.175   0.351
   0.050  22.000   0.180   0.180   0.359
   0.075  25.000   0.181   0.183   0.364
   0.100  26.000   0.181   0.184   0.367
   0.125  25.000   0.179   0.185   0.366
   0.150  26.000   0.176   0.183   0.362
   0.175  26.000   0.171   0.180   0.355
   0.200  26.000   0.164   0.174   0.342
   0.225  27.000   0.155   0.166   0.325
   0.250  28.000   0.145   0.156   0.305
   0.275  28.000   0.135   0.146   0.285
   0.300  28.000   0.125   0.136   0.265
   0.325  29.000   0.117   0.127   0.247
   0.350  27.000   0.109   0.118   0.231
   0.375  27.000   0.102   0.111   0.217
   0.400  27.000   0.096   0.105   0.204
   0.425  27.000   0.091   0.099   0.193
   0.450  28.000   0.086   0.094   0.184
   0.475  28.000   0.082   0.090   0.175
   0.500  28.000   0.079   0.086   0.167
   0.525  28.000   0.076   0.082   0.161
   0.550  28.000   0.073   0.079   0.155
   0.575  28.000   0.070   0.076   0.149
   0.600  28.000   0.068   0.074   0.144
   0.625  28.000   0.068   0.074   0.144
   0.650  28.000   0.068   0.074   0.144
   0.675  28.000   0.068   0.074   0.144
   0.700  28.000   0.068   0.074   0.144
   0.725  28.000   0.068   0.074   0.144
   0.750  28.000   0.068   0.074   0.144
   0.775  28.000   0.068   0.074   0.144
   0.800  28.000   0.068   0.074   0.144
   0.825  28.000   0.068   0.074   0.144
   0.850  28.000   0.068   0.074   0.144
   0.875  28.000   0.068   0.074   0.144
   0.900  28.000   0.068   0.074   0.144
   0.925  28.000   0.068   0.074   0.144
   0.950  28.000   0.068   0.074   0.144
   0.975  28.000   0.068   0.074   0.144
   1.000  28.000   0.068   0.074   0.144
