  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.210   0.225   0.442
   0.025  26.000   0.213   0.228   0.448
   0.050  26.000   0.216   0.228   0.449
   0.075  26.000   0.218   0.225   0.446
   0.100  21.000   0.219   0.221   0.440
   0.125  22.000   0.215   0.222   0.440
   0.150  21.000   0.212   0.225   0.442
   0.175  22.000   0.209   0.224   0.440
   0.200  22.000   0.204   0.220   0.430
   0.225  22.000   0.196   0.212   0.415
   0.250  23.000   0.187   0.202   0.396
   0.275  22.000   0.176   0.191   0.374
   0.300  22.000   0.166   0.180   0.352
   0.325  22.000   0.156   0.169   0.330
   0.350  22.000   0.146   0.159   0.311
   0.375  22.000   0.138   0.150   0.293
   0.400  21.000   0.131   0.142   0.278
   0.425  21.000   0.125   0.135   0.264
   0.450  20.000   0.119   0.129   0.252
   0.475  20.000   0.114   0.124   0.242
   0.500  21.000   0.114   0.124   0.243
   0.525  21.000   0.115   0.125   0.244
   0.550  21.000   0.115   0.125   0.244
   0.575  21.000   0.115   0.125   0.245
   0.600  21.000   0.115   0.126   0.246
   0.625  21.000   0.116   0.126   0.246
   0.650  21.000   0.116   0.126   0.247
   0.675  21.000   0.116   0.127   0.247
   0.700  21.000   0.116   0.127   0.248
   0.725  21.000   0.117   0.127   0.248
   0.750  21.000   0.117   0.128   0.249
   0.775  21.000   0.117   0.128   0.250
   0.800  21.000   0.118   0.128   0.250
   0.825  21.000   0.118   0.129   0.251
   0.850  21.000   0.119   0.129   0.252
   0.875  21.000   0.119   0.130   0.253
   0.900  21.000   0.120   0.130   0.255
   0.925  21.000   0.121   0.131   0.256
   0.950  21.000   0.122   0.132   0.258
   0.975  21.000   0.122   0.133   0.259
   1.000  21.000   0.123   0.133   0.261
