  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.150   0.001   0.000
   0.025   2.000   0.138   0.001   0.000
   0.050   2.000   0.133   0.001   0.000
   0.075   2.000   0.136   0.001   0.000
   0.100   2.000   0.145   0.002   0.001
   0.125   2.000   0.160   0.004   0.002
   0.150   3.000   0.181   0.012   0.006
   0.175   3.000   0.210   0.031   0.018
   0.200   5.000   0.238   0.059   0.041
   0.225   5.000   0.250   0.074   0.056
   0.250   5.000   0.256   0.087   0.069
   0.275   5.000   0.263   0.100   0.083
   0.300   6.000   0.270   0.114   0.097
   0.325   8.000   0.277   0.127   0.109
   0.350   8.000   0.284   0.138   0.120
   0.375   8.000   0.291   0.148   0.130
   0.400   8.000   0.298   0.158   0.138
   0.425   8.000   0.304   0.166   0.145
   0.450   8.000   0.310   0.173   0.150
   0.475   8.000   0.316   0.180   0.154
   0.500   8.000   0.320   0.187   0.158
   0.525   8.000   0.325   0.193   0.160
   0.550   8.000   0.329   0.199   0.161
   0.575   8.000   0.329   0.202   0.159
   0.600   8.000   0.329   0.204   0.156
   0.625   8.000   0.329   0.207   0.153
   0.650   8.000   0.328   0.211   0.149
   0.675   8.000   0.328   0.215   0.145
   0.700   8.000   0.327   0.219   0.141
   0.725   8.000   0.326   0.224   0.137
   0.750   8.000   0.325   0.229   0.132
   0.775   8.000   0.324   0.235   0.127
   0.800   8.000   0.323   0.241   0.122
   0.825   8.000   0.322   0.247   0.116
   0.850   8.000   0.320   0.254   0.110
   0.875   8.000   0.319   0.262   0.104
   0.900   8.000   0.317   0.269   0.097
   0.925   8.000   0.315   0.277   0.090
   0.950   8.000   0.313   0.285   0.083
   0.975   8.000   0.311   0.293   0.075
   1.000   7.000   0.309   0.301   0.068
