  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000   2.000   0.194   0.000   0.000
   0.025   2.000   0.180   0.000   0.000
   0.050   2.000   0.171   0.000   0.000
   0.075   2.000   0.166   0.000   0.000
   0.100   2.000   0.164   0.000   0.000
   0.125   2.000   0.165   0.000   0.001
   0.150   2.000   0.170   0.000   0.001
   0.175   2.000   0.179   0.000   0.003
   0.200   2.000   0.190   0.000   0.006
   0.225   2.000   0.203   0.000   0.015
   0.250   2.000   0.217   0.000   0.031
   0.275   4.000   0.233   0.000   0.054
   0.300   6.000   0.248   0.000   0.081
   0.325   6.000   0.262   0.000   0.107
   0.350   8.000   0.276   0.000   0.131
   0.375   8.000   0.288   0.000   0.153
   0.400   8.000   0.300   0.000   0.172
   0.425   8.000   0.310   0.000   0.189
   0.450   8.000   0.319   0.000   0.204
   0.475   8.000   0.327   0.000   0.216
   0.500  10.000   0.334   0.000   0.228
   0.525  10.000   0.341   0.000   0.237
   0.550  12.000   0.347   0.000   0.246
   0.575  12.000   0.347   0.000   0.246
   0.600  12.000   0.347   0.000   0.245
   0.625  12.000   0.347   0.000   0.245
   0.650  12.000   0.348   0.000   0.245
   0.675  12.000   0.348   0.000   0.245
   0.700  12.000   0.348   0.000   0.245
   0.725  12.000   0.348   0.000   0.245
   0.750  12.000   0.348   0.000   0.245
   0.775  12.000   0.348   0.000   0.244
   0.800  12.000   0.348   0.000   0.244
   0.825  12.000   0.348   0.000   0.244
   0.850  12.000   0.348   0.000   0.244
   0.875  12.000   0.349   0.000   0.244
   0.900  12.000   0.349   0.000   0.244
   0.925  12.000   0.349   0.000   0.244
   0.950  13.000   0.349   0.000   0.244
   0.975  13.000   0.349   0.000   0.244
   1.000  13.000   0.349   0.000   0.244
